key,city,state,active,verified,featured,fixedSite
missouri/ferguson,"Ferguson",MO,1,1,0,0
missouri/kewanee,"Kewanee",MO,1,1,0,0
missouri/o-fallon,"O Fallon",MO,1,1,0,0
new-jersey/camden,"Camden",NJ,1,1,0,0
new-jersey/ewing,"Ewing",NJ,1,1,0,0
new-jersey/hackensack,"Hackensack",NJ,1,1,0,0
new-jersey/maplewood,"Maplewood",NJ,1,1,0,0
new-jersey/princeton,"Princeton",NJ,1,1,0,0
new-jersey/willingboro,"Willingboro",NJ,1,1,0,0
new-york/far-rockaway,"Far Rockaway",NY,1,1,0,0
new-york/mamaroneck,"Mamaroneck",NY,1,1,0,0
new-york/moriches,"Moriches",NY,1,1,0,0
new-york/newburgh,"Newburgh",NY,1,1,0,0
new-york/niagara-falls,"Niagara Falls",NY,1,1,0,0
north-carolina/burlington-nc,"Burlington NC",NC,1,1,0,0
north-carolina/concord,"Concord",NC,1,1,0,0
north-carolina/gastonia,"Gastonia",NC,1,1,0,0
north-carolina/hickory,"Hickory",NC,1,1,0,0
north-carolina/jacksonville,"Jacksonville",NC,1,1,0,0
ohio/avon,"Avon",OH,1,1,0,0
ohio/lima,"Lima",OH,1,1,0,0
ohio/northfield,"NORTHFIELD",OH,1,1,0,0
ohio/richmond-hts,"Richmond Hts",OH,1,1,0,0
ohio/vandalia,"Vandalia",OH,1,1,0,0
oklahoma/broken-arrow,"Broken Arrow",OK,1,1,0,0
pennsylvania/brodheadsville,"Brodheadsville",PA,1,1,0,0
pennsylvania/easton,"Easton",PA,1,1,0,0
pennsylvania/effort,"Effort",PA,1,1,0,0
pennsylvania/harrisburg,"Harrisburg",PA,1,1,0,0
pennsylvania/homestead,"Homestead",PA,1,1,0,0
pennsylvania/hustontown,"Hustontown",PA,1,1,0,0
pennsylvania/lancaster,"Lancaster",PA,1,1,0,0
pennsylvania/new-castle,"New Castle",PA,1,1,0,0
pennsylvania/newtown-square,"Newtown Square",PA,1,1,0,0
south-carolina/blythewood,"Blythewood",SC,1,1,0,0
south-carolina/dillon,"Dillon",SC,1,1,0,0
south-carolina/fort-mill,"Fort Mill",SC,1,1,0,0
south-carolina/georgetown,"Georgetown",SC,1,1,0,0
south-carolina/mauldin,"Mauldin",SC,1,1,0,0
south-carolina/myrtle-beach,"Myrtle Beach",SC,1,1,0,0
south-carolina/newberry,"Newberry",SC,1,1,0,0
south-carolina/north-charleston,"North Charleston",SC,1,1,0,0
south-carolina/pawleys-island,"Pawleys Island",SC,1,1,0,0
south-carolina/saint-matthews,"Saint Matthews",SC,1,1,0,0
south-carolina/simpsonville,"Simpsonville",SC,1,1,0,0
tennessee/madison,"Madison",TN,1,1,0,0
texas/addsion,"Addsion",TX,1,1,0,0
texas/alvarado,"Alvarado",TX,1,1,0,0
texas/bedford,"Bedford",TX,1,1,0,0
texas/bellaire,"Bellaire",TX,1,1,0,0
texas/crosby,"Crosby",TX,1,1,0,0
texas/lamarque,"LaMarque",TX,1,1,0,0
texas/mansfield,"Mansfield",TX,1,1,0,0
texas/mission,"Mission",TX,1,1,0,0
texas/orange,"Orange",TX,1,1,0,0
texas/richmond,"Richmond",TX,1,1,0,0
texas/sugarland,"Sugarland",TX,1,1,0,0
texas/tomball,"Tomball",TX,1,1,0,0
texas/uvalde,"Uvalde",TX,1,1,0,0
utah/american-fork,"American Fork",UT,1,1,0,0
vermont/stowe,"Stowe",VT,1,1,0,0
virginia/glen-allen,"Glen Allen",VA,1,1,0,0
virginia/halifax,"Halifax",VA,1,1,0,0
virginia/midlothian,"Midlothian",VA,1,1,0,0
washington/everett,"EVERETT",WA,1,1,0,0
washington/granite-falls,"Granite Falls",WA,1,1,0,0
west-virginia/kearynsville,"Kearynsville",WV,1,1,0,0
