1 on 1 Phlebotomy,totalScore,reviewsCount,street,city,regions serviced,state,countryCode,website,phone,categoryName,url
Academy of Medical Training Inc.,5,20,6720 Grelot Rd Suite D,Mobile,,Alabama,US,https://getvipcare.com/our-locations/mobile/?utm_source=GMB&utm_medium=digital&utm_campaign=Organic%20GMB,(251) 274-8957,Medical clinic,https://www.google.com/maps/search/?api=1&query=VIPcare%20Mobile%20%E2%80%93%20Grelot%20Commons&query_place_id=ChIJ77gZ93azm4gRvdOwovUUarM
Access Medical Laboratories,4.4,149,1515 S University Blvd,Mobile,,Alabama,US,https://saadhealthcare.com/,(251) 343-9600,Home health care service,https://www.google.com/maps/search/?api=1&query=Saad%20Healthcare&query_place_id=ChIJp43r6y5NmogRCHtTVL6_O38
Accu Phleb,4.9,54,1515 S University Blvd ste e,Mobile,,Alabama,US,https://saadhealthcare.com/career-training/,(251) 287-8875,Technical school,https://www.google.com/maps/search/?api=1&query=Saad%20Healthcare%20Career%20Training%20CNA%2C%20CMA&query_place_id=ChIJEXDb7y5NmogR2w9O-dnOYDM
Accurate Affordable Mobile Lab,5,1,2318 St Stephens Rd,Mobile,,Alabama,US,https://sage.health/markets/mobile-al/,(251) 308-5689,Medical clinic,https://www.google.com/maps/search/?api=1&query=Sage%20Health&query_place_id=ChIJp4eHYDtRmogR6IUHDJvs5sQ
ACM Labs,3.7,80,351 N Broad St,Mobile,,Alabama,US,https://www.bishop.edu/,(251) 405-7000,Community college,https://www.google.com/maps/search/?api=1&query=Bishop%20State%20Community%20College&query_place_id=ChIJXbYjeylOmogRf65K0tb-dog
Acme Mobile Phlebotomy Service,,0,,Mobile,,Alabama,US,https://www.google.com/maps/search/?api=1&query=Good%20Faith%20Phlebotomy%20Services&query_place_id=ChIJbQ9LospNmogRi6m9djjTygs,(251) 802-1882,Local medical services,https://www.google.com/maps/search/?api=1&query=Good%20Faith%20Phlebotomy%20Services&query_place_id=ChIJbQ9LospNmogRi6m9djjTygs
Aculabs Inc,4.5,26,5570 Rangeline Rd,Mobile,,Alabama,US,https://www.synergylaboratories.com/,(251) 662-9760,Laboratory,https://www.google.com/maps/search/?api=1&query=Synergy%20Laboratories&query_place_id=ChIJtTmm4FlLmogRCb7PE_LzzO0
Advanced Mobile Phlebotomy Professionals,3.7,3,3263 Demetropolis Rd Suite 9,Mobile,,Alabama,US,,(251) 263-0012,Surgical center,https://www.google.com/maps/search/?api=1&query=Safe%20Hands%20Phlebotomy%20LLC&query_place_id=ChIJ0z9pjwxNmogR9tFiuMOK_Ns
"Advanced Mobile Phlebotomy Service, LLC",,0,,Mobile,,Alabama,US,,(251) 301-2142,Diagnostic center,https://www.google.com/maps/search/?api=1&query=Order%20of%20Draw%20Mobile%20Phlebotomy%20Service%2C%20LLC&query_place_id=ChIJOz-OwjdFfKARjRXhgIkPqmg
Aim To Please Mobile Phlebotomy Service,4.2,22,4139 Carmichael Rd,Montgomery,,Alabama,US,http://www.lifesouth.org/,(334) 260-0803,Blood donation center,https://www.google.com/maps/search/?api=1&query=Lifesouth%20Community%20Blood%20Center&query_place_id=ChIJY_WT-v_h-hQRNCwZ9Im-DOg
AIMS Vascular Access,2.6,5,2740 Central Pkwy #5,Montgomery,,Alabama,US,https://nywes.com/,(334) 233-1485,Medical clinic,https://www.google.com/maps/search/?api=1&query=NyWes%20Phlebotomy%20%26%20Mobile%20Health%20Services%20LLC&query_place_id=ChIJNWWQmP8qjIgRLvyh40--Krk
"Alabama Medical Group, P.C.",5,2,122 N 20th St,Opelika,,Alabama,US,https://www.eamc.org/location/lab-outreach-at-building-22,(334) 528-4460,Medical clinic,https://www.google.com/maps/search/?api=1&query=Lab%20Outreach%20at%20Building%2022&query_place_id=ChIJ78VNIf6TjIgRZAFB-pEyFf0
Alaska Mobile Laboratory,3.4,27,121 N 20th St Building 22,Opelika,,Alabama,US,https://www.eastalabamahealth.org/location/lab-outreach-building-22,(334) 528-4460,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Lab%20Outreach%20Services%20of%20EAMC&query_place_id=ChIJx7pAPdOSjIgRlteYdutqXHU
Albany Center Lab,5,13,2108 Gateway Dr Ste E,Opelika,,Alabama,US,https://www.mobile-pps.com/,(334) 502-0023,Blood testing service,https://www.google.com/maps/search/?api=1&query=Professional%20Phlebotomy%20Services&query_place_id=ChIJe2TeCgTzjIgRMpNrEmXJMmE
Albany Med Internal Medicine Group,5,195,3738 Opelika Rd B,Phenix City,,Alabama,US,https://tgmedicallab.com/,(706) 225-9384,Medical laboratory,https://www.google.com/maps/search/?api=1&query=T%26G%20Medical%20Mobile%20Lab%20and%20Drug%20Screen%20LLC&query_place_id=ChIJje08QgDPjIgRWJFzf8AAbeQ
All Access Healthcare,,0,,,Baldwin County,Alabama,US,https://phlebotomyondemandllc.com/,(251) 325-0513,Blood testing service,https://www.google.com/maps/search/?api=1&query=Phlebotomy%20On%20Demand%20LLC&query_place_id=ChIJLxiV6bmMdYsRFWAXKRcshjM
All Mobile Phlebotomy Services,,0,624 W International Airport Rd,Anchorage,,Alaska,US,https://www.northernskymobilephlebotomy.com/schedule-mobile-phlebotomy-services,(907) 302-1674,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Northern%20Sky%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJ__8vjJKXyFYROOVMifXzQ5c
All Star Medical Supply,5,24,721 Depot Dr Suite 118,Anchorage,,Alaska,US,https://www.nwphlebotomyschool.com/,(360) 522-3226,Vocational school,https://www.google.com/maps/search/?api=1&query=Northwest%20Phlebotomy%20School%20Anchorage&query_place_id=ChIJQ7zrBC29yFYRRssXdrwL5u8
ALLIANCE Laboratories,5,37,3030 Denali St STE 10,Anchorage,,Alaska,US,https://www.phlebotomyusa.com/alaska/anchorage-phlebotomy-school-classes/?c=anchorage,(701) 404-9434,Vocational school,https://www.google.com/maps/search/?api=1&query=Phlebotomy%20Training%20Specialists&query_place_id=ChIJf0aX8wSXyFYRlseaUefv-WY
Allimac Mobile Phlebotomy Lab,5,3,3327 Fairbanks St Unit E,Anchorage,,Alaska,US,,(907) 302-1674,Medical clinic,https://www.google.com/maps/search/?api=1&query=Northern%20Sky%20Phlebotomy%20Services%2C%20LLC&query_place_id=ChIJXbGHS0sfZY0RIrrsGWOH1Cg
Allpro Mobile Phlebotomy Services LLC,4.9,9,1060 Bush St,Fairbanks,,Alaska,US,https://www.alsglobal.com/en/geochemistry,(907) 452-2188,Laboratory,https://www.google.com/maps/search/?api=1&query=ALS%20Geochemistry%20-%20Fairbanks&query_place_id=ChIJ345pHyhFMlERMHDXePn8Z00
"ALLSTIX MOBILE PHLEBOTOMY SERVICES, LLC.",4.5,4,"Mile Post 1314, Alaska Hwy #5",Tok,,Alaska,US,,(907) 883-4446,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Alaska%20Mobile%20Laboratory&query_place_id=ChIJy15-r6eJSlERKLCpyxRZ8sY
Aloha Mobile Phlebotomy LLC,3.4,9,951 Bogard Rd STE 102,Wasilla,,Alaska,US,https://www.facebook.com/Valley-Phlebotomy-Service-LLC-126436710743825/,(907) 376-6435,Drug testing service,https://www.google.com/maps/search/?api=1&query=Valley%20Phlebotomy%20Service%20LLC.&query_place_id=ChIJLWRoyD_eyFYRAa0a0K4znyc
ALS Geochemistry - Fairbanks,1,3,281 Main St,Wasilla,,Alaska,US,,(907) 373-6357,Laboratory,https://www.google.com/maps/search/?api=1&query=Professional%20Medical%20Trainers%20of%20Alaska&query_place_id=ChIJJ5oltW_eyFYRG8kFX9uFI9s
"Amems Mobile Phlebotomist, LLC",4.7,145,13253 N La Montana Dr # 103,Fountain Hills,,Arizona,US,http://uniquelabservices.com/,(480) 765-2677,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Unique%20Lab%20Services&query_place_id=ChIJ___L54iYK4cRYGKHehBzEcQ
American Health Associates,5,1,455 N Mesa Dr Suite 16B,Mesa,,Arizona,US,http://www.mobilephlebotomyarizona.com/,(480) 565-7621,Medical group,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Arizona%2C%20LLC&query_place_id=ChIJRdKb2SenK4cRIipWqf9JRxs
American Health Associates,5,7,"Floors 1&2, 3707 E Southern Ave",Mesa,,Arizona,US,https://xtreamvein.com/,(480) 577-9373,Home health care service,https://www.google.com/maps/search/?api=1&query=XtreamVein%20Mobile%20Phlebotomy&query_place_id=ChIJlxRdz9WvK4cRXRFPM0OdLWI
American Red Cross,5,9,Phoenix Metro,Phoenix,,Arizona,US,http://www.idealmobilelabservices.com/,(623) 272-0832,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Ideal%20Mobile%20Lab%20Services%20LLC&query_place_id=ChIJZ8kttEgTK4cReQx4wyBJ0LY
American Red Cross,5,2,,Phoenix,,Arizona,US,https://mobilephlebotomytechnician.com/,(602) 702-0603,Home health care service,https://www.google.com/maps/search/?api=1&query=Blood%20Vessel%20Mobile%20Phlebotomy&query_place_id=ChIJ5caK3ZMpuyIROFsurmtFFTc
American Red Cross Solano County,5,34,,Phoenix,,Arizona,US,https://softtouchmobilelabs.com/,(480) 323-9609,Medical clinic,https://www.google.com/maps/search/?api=1&query=Soft%20Touch%20Mobile%20Labs%20LLC&query_place_id=ChIJd7onQRbUhgYReKGQclHR0Gk
"Angel Hands Mobile Phlebotomy Services, LLC",5,308,4653 S Lakeshore Dr #1,Tempe,,Arizona,US,http://mypedialabs.com/,(480) 395-3972,Laboratory,https://www.google.com/maps/search/?api=1&query=PediaLabs%2C%20LLC&query_place_id=ChIJdxGubxcHK4cR8y_IeqBOuwY
Angel Touch Mobile Phlebotomy Services LLC,5,25,,,Central Arizona,Arizona,US,http://www.optivena.com/,(623) 692-0527,Blood testing service,https://www.google.com/maps/search/?api=1&query=OptiVena%20Mobile%20Phlebotomy%2C%20LLC&query_place_id=ChIJp-64-dqvMAERpxox3lPy_YQ
Angel Touch Mobile Phlebotomy Services LLC,4,41,Four Embarcadero Center Lobby Level (2nd Floor,San Francisco,,California,US,https://onemedical.com/locations/sf/4ec?y_source=1_MTA1Mzk0OTM0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(888) 663-6331,Medical clinic,https://www.google.com/maps/search/?api=1&query=One%20Medical%20Primary%20Care%20Clinic%20-%20Four%20Embarcadero%20Center&query_place_id=ChIJpRm_M2GAhYAREu3rUbBzhac
Angel’s Touch Mobile Phlebotomy Services,4.2,6,500 San Pablo Ave,Albany,,California,US,https://www.sutterhealth.org/find-location/facility/albany-center-lab-1043246514,(510) 204-8199,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Albany%20Center%20Lab&query_place_id=ChIJsejYkiR5hYAReNfN0K5roaI
Angels on wheels Mobile Phlebotomy,3.6,29,4045 Lone Tree Wy Ste B,Antioch,,California,US,https://locations.labcorp.com/ca/antioch/27807/,(925) 779-0945,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJVSk4Q_JXhYARFJbX07FoUu4
Angel's Touch Lab Solutions,3.4,25,810 Southampton Rd Ste 109,Benicia,,California,US,https://locations.questdiagnostics.com/ca/benicia/810-southampton-rd,(707) 746-6360,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJ9RyL90xvhYARzbzIASCP9sk
Any Lab Test Now,,0,821 E 2nd St #201a,Benicia,,California,US,,(510) 776-1275,Laboratory,https://www.google.com/maps/search/?api=1&query=Passionate%20Hands%20Phlebotomy%20Services%20LLC&query_place_id=ChIJH6uext5vhYAR5eF8iECv9Qs
Any Lab Test Now,3.5,50,1181 Central Blvd Suite C,Brentwood,,California,US,https://locations.questdiagnostics.com/ca/brentwood/1181-central-boulevard,(925) 516-4900,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJX5KIfMH-j4ARB04P0k7_yOw
Any Lab Test Now with Arcpoint Labs,,0,191 Sand Creek Rd Suite 202B,Brentwood,,California,US,https://www.accuphleb.com/,(650) 383-4591,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Accu%20Phleb&query_place_id=ChIJtb-o3-hSZEYR1wUN2Mohy0Y
Any Lab Test Now with Arcpoint Labs,5,119,4550 Balfour Rd suite b,Brentwood,,California,US,https://www.phlebotomyplusllc.com/?utm_source=google&utm_medium=gmb&utm_campaign=brentwood,(925) 239-4922,Trade school,https://www.google.com/maps/search/?api=1&query=Phlebotomy%20Plus&query_place_id=ChIJhVtaP8b_j4ARY6mwJB8gRmg
Anzel's Touch Mobile Phlebotomy,4.5,2,350 John Muir Pkwy #160,Brentwood,,California,US,https://www.sutterhealth.org/find-location/facility/brentwood-center-lab-1043246583,(510) 204-1920,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Brentwood%20Center%20Lab&query_place_id=ChIJU6_Y90b5j4ARwLZHh3_bbYA
Apex Laboratories,5,118,595 N La Cadena Dr STE G,Colton,,California,US,http://onsitephlebotomysolutions.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18112328423465339391,(909) 554-3386,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Onsite%20Phlebotomy%20Solutions&query_place_id=ChIJDQhBM5Wt3IARheOluwTgCIY
Apex Laboratory,5,12,636 Winslow St,Crockett,,California,US,https://www.allaccesshealthcare.net/,(888) 341-9098,Medical clinic,https://www.google.com/maps/search/?api=1&query=All%20Access%20Healthcare&query_place_id=ChIJN_Z5d4BxhYARYbHjNqYUclM
"Apex Laboratory, Inc.",,0,400 Corporate Pointe #300,Culver City,,California,US,,(323) 744-2653,Laboratory,https://www.google.com/maps/search/?api=1&query=Gateway%20Mobile%20Phlebotomy&query_place_id=ChIJHXW1ASe3woAR66k3Mwm1LhM
APPS Paramedical,2.9,51,1440 Southgate Ave Ste 2,Daly City,,California,US,https://locations.labcorp.com/ca/daly-city/18874/,(650) 992-2986,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJH1fVVYh7j4ARBfsZDi0z4rY
APPS Paramedical of Lexington,5,11,,E Rancho Dominguez,,California,US,https://angels-mobilephlebotomy.com/,(424) 370-9778,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Angels%20on%20wheels%20Mobile%20Phlebotomy&query_place_id=ChIJ50MPGmg8KUQRS6iurNIGS70
ARCpoint Labs of Houston Northwest,,0,1652 W Texas St suite 121,Fairfield,,California,US,http://precisepokesmobilephlebotomyservice.com/,(916) 915-4669,Home health care service,https://www.google.com/maps/search/?api=1&query=Precise%20Pokes%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJZ6fP5lzfoUcRR0UuX4sIV2E
ARCpoint Labs of Katy,3.8,6,490 Chadbourne Rd STE A134,Fairfield,,California,US,http://www.redcross.org/,(707) 438-7060,Social services organization,https://www.google.com/maps/search/?api=1&query=American%20Red%20Cross%20Solano%20County&query_place_id=ChIJuewpTswVhYARP8Dt-tRUXMk
ARCpoint Labs of San Rafael,5,2,2720 Low Ct,Fairfield,,California,US,https://www.sutterhealth.org/find-location/facility/sutter-medical-plaza-fairfield-lab-1043247010,(866) 961-8534,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Fairfield%20Lab&query_place_id=ChIJ7WfdsurQmoARQommt_IyOF0
ArmHug,,0,705 Folsom Lake Drive Suite 250,Folsom,,California,US,http://vearmobile.com/,(408) 796-9768,Pathologist,https://www.google.com/maps/search/?api=1&query=VeAr%20Mobile%20Phlebotomy&query_place_id=ChIJZxenrX7jmoARVWR5M1WNhK8
Arms & Tourniquets LLC,5,17,39116 Fremont Hub #1182,Fremont,,California,US,http://www.lordoftheveins.life/,(510) 556-9413,Blood testing service,https://www.google.com/maps/search/?api=1&query=Lord%20of%20the%20Veins%20Mobile%20Phlebotomy%20and%20Diagnostics%20LLC&query_place_id=ChIJSUYZGYsr40ARSjLvkZp72ss
Ashley's Phlebotomy School,2.3,83,2147 Mowry Ave Ste C1,Fremont,,California,US,https://locations.labcorp.com/ca/fremont/21772/,(510) 793-3385,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJ0bqEIYbAj4ARy0jAPAkA_yU
Assurance Mobile Labs,,0,229 N Central Ave # 103,Glendale,,California,US,https://www.vitusla.com/contact,(747) 300-8050,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services&query_place_id=ChIJ3ZEqKlTAwoAR9z2vfChiOQ4
At Home Mobile Phlebotomy,5,1,2372 Morse Ave suite #994,Irvine,,California,US,https://www.fromtheheartmobilelabs.com/,(424) 295-5939,Blood testing service,https://www.google.com/maps/search/?api=1&query=From%20the%20Heart%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJIQkUMQnf3IARs0ucyId9fRo
BayPLS,4.6,7,1133 E Stanley Blvd,Livermore,,California,US,https://stanfordhealthcare.org/medical-clinics/blood-draw-livermore.html?cid=clinic%7Clocal%7CGoogle,(925) 416-3600,Medical clinic,https://www.google.com/maps/search/?api=1&query=Blood%20Draw%20in%20Livermore&query_place_id=ChIJqXV_Ppbnj4ARJwOVYBqUs1A
BayPLS,3.6,116,801 S Ham Ln Ste 1,Lodi,,California,US,https://locations.questdiagnostics.com/ca/lodi/801-s-ham-ln,(209) 333-9796,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Quest%20Diagnostics&query_place_id=ChIJva9xsW2gmoARw3xE5ItlrXI
"BELIEVE IN ME MOBILE PHLEBOTOMY SERVICES, LLC",,,,Los Angeles,,California,US,https://phlebotomynetwork.com/mobile-phlebotomy-services-los-angeles/,(888) 778-7403,,
Bella Mobile Phlebotomy Services,2.7,30,320 Dardanelli Ln. #13B,Los Gatos,,California,US,https://www.bioreference.com/patients/locations-patient-services/,(408) 370-0944,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Patient%20Service%20Center&query_place_id=ChIJgYuweAs1joARA5iqvvZiA-k
Best Of Care Mobile Phlebotomy,4.5,33,15215 National Ave #103,Los Gatos,,California,US,https://www.natera.com/,(408) 357-9882,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Natera%20Patient%20Service%20Center&query_place_id=ChIJWULgUzQ1joAR7NuNGkQHBh4
Bevel-up At home blood draw and delivery - Mobile Phlebotomy,4.7,3,2895 Newhalen St,Manteca,,California,US,https://www.valleymobilephleb.com/,(408) 718-6175,Home health care service,https://www.google.com/maps/search/?api=1&query=valley%20mobile%20phlebotomy&query_place_id=ChIJD32KdVFvSAsROwGw7eviztY
Bevel-up Mobile Phleb,3.5,52,101 Jefferson Dr,Menlo Park,,California,US,http://travalab.com/,(800) 921-6933,Home health care service,https://www.google.com/maps/search/?api=1&query=TravaLab&query_place_id=ChIJE3k7fdmVj4ARTaWzDs60qqQ
Beyond Mobile Health Inc.,5,462,4600 Bohannon Dr # 100,Menlo Park,,California,US,http://www.sprinterhealth.com/,(209) 677-7468,Home health care service,https://www.google.com/maps/search/?api=1&query=Sprinter%20Health&query_place_id=ChIJpTXqEXnNj4ARlRsq1PxEA-E
BIO- STREET Mobile Phlebotomy,5,7,2500 Grant Rd,Mountain View,,California,US,https://www.getcare.elcaminohealth.org/locations/mountain-view-hospital-campus/2500-grant-rd/laboratory_svcs-mv?utm_campaign=listings&utm_source=google&utm_medium=location_link&utm_content=laboratory_svcs-mv,(650) 940-7022,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Laboratory%20Services%20Mountain%20View%20-%20El%20Camino%20Health&query_place_id=ChIJWUQMuMO3j4ARXUtrksFZGVM
BIO-CARE SERVICES INC,4.3,84,701 E El Camino Real 2nd floor,Mountain View,,California,US,https://www.sutterhealth.org/find-location/facility/mountain-view-center-lab-1043247129,(650) 934-7333,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mountain%20View%20Center%20Lab&query_place_id=ChIJiT0dRty2j4ARUEO6UsNE6ZU
BioSpecimen Solutions Inc,,0,7075 Redwood Blvd Suite M,Novato,,California,US,http://www.tridentcare.com/,,Medical diagnostic imaging center,https://www.google.com/maps/search/?api=1&query=TridentCare&query_place_id=ChIJR5qLbkm9hYARbCOALRWtjrk
Bio-Vein Mobile Phlebotomy,3.2,43,400 30th St # 10,Oakland,,California,US,https://locations.labcorp.com/ca/oakland/18851/,(510) 834-3951,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJv9QiV1WHj4AR83C99YQ-IGU
Bishop State Community College,,0,,Oceanside,,California,US,,(833) 882-6278,Blood testing service,https://www.google.com/maps/search/?api=1&query=Coast%20Phlebotomy%20Services%20LLC&query_place_id=ChIJhzq48I7BYVMRPFeUYX_3XJc
"Blood Draw - Constitution Diagnostics Network, Sand Pit Rd. Danbury, part of Nuvance Health",5,6,12 Cam Encinas,Orinda,,California,US,https://www.sutterhealth.org/find-location/facility/orinda-center-lab-1043246618,(510) 204-8321,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Orinda%20Center%20Lab&query_place_id=ChIJPYYrgi59hYARgHyvonB-XRg
Blood Draw at Stanford Cancer Center South Bay,5,202,1000 Town Center Dr #300,Oxnard,,California,US,http://www.thebiocells.com/,(833) 324-6235,Local medical services,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services%20in%20Ventura%20County&query_place_id=ChIJrzcIEHnl9WIRxJf0HYmEG9I
Blood Draw in Livermore,4.7,29,211 Quarry Rd #101,Palo Alto,,California,US,https://stanfordhealthcare.org/medical-clinics/blood-draw-hoover-pavilion-lab.html?cid=clinic%7Clocal%7CGoogle,(650) 724-4750,Medical clinic,https://www.google.com/maps/search/?api=1&query=Stanford%20Blood%20Draw%20at%20Hoover%20Pavilion&query_place_id=ChIJY6anXjG7j4ARDcPw85A8Smk
blood Squad Labs,2.9,18,"Lee Building, 795 El Camino Real Level A",Palo Alto,,California,US,https://www.sutterhealth.org/find-location/facility/palo-alto-center-lab-1043246897,(650) 614-3231,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Palo%20Alto%20Center%20Lab&query_place_id=ChIJwwLmzTq7j4ARs1P5iruUZGo
Blood Vessel Mobile Phlebotomy,,0,7869 Ventura Canyon Ave UNIT 202,Panorama City,,California,US,https://needlesonwheels.com/?utm_campaign=gmb,(818) 731-1009,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Needles%20on%20Wheels%20Mobile%20Phlebotomy&query_place_id=ChIJk0rnJISXwoAR4oh019ETwRU
Bloodlink Mobile Laboratory Services LLC,2.3,20,153 Lynch Creek Way,Petaluma,,California,US,https://locations.labcorp.com/ca/petaluma/18768/,(707) 765-2043,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJLWwOHQy0hYARBQbsp67hs0c
BLOODLNK LLC,3.7,9,1383 N McDowell Blvd #150,Petaluma,,California,US,https://www.sutterhealth.org/find-location/facility/sutter-pacific-medical-foundation-lab-1043247005,(707) 308-2844,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Petaluma%20Center%20Lab&query_place_id=ChIJF1IZbNC1hYARTizg8GfYxuQ
Bloodugo | Mobile Lab Services,5,7,200 Gregory Ln Suite B202,Pleasant Hill,,California,US,http://www.mobilemedservices.com/,(925) 871-8279,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Med%20Services&query_place_id=ChIJ3el_dr3tj4AR58VneR57VyA
Bloom Direct Primary Care,3.1,41,5860 Owens Dr Ste 120,Pleasanton,,California,US,https://locations.labcorp.com/ca/pleasanton/29872/,(925) 460-9401,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJ32ABAlXpj4AR8211IvWlckE
Blue heart mobile phlebotomy services LLC,5,1,5161 Olivia Ln,Riverside,,California,US,https://anzel-s-touch-mobile-phlebotomy.ueniweb.com/?utm_campaign=gmb,(951) 220-4166,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Anzel's%20Touch%20Mobile%20Phlebotomy&query_place_id=ChIJnyupDqa33IARlVda74uC_o4
Bozeman Health Outpatient Services at North 19th,3.3,21,6000 State Farm Dr #150,Rohnert Park,,California,US,https://www.sutterhealth.org/find-location/facility/6000-state-farm-drive-lab-1043247302,(707) 588-3020,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Rohnert%20Park%20Center%20Lab&query_place_id=ChIJd-SCEk9KhIARaSGhpMxqSlY
Brentwood Center Lab,5,16,210 Estates Dr,Roseville,,California,US,https://www.wallsphlebotomy.com/,(916) 741-2944,Laboratory,https://www.google.com/maps/search/?api=1&query=Walls%20Phlebotomy&query_place_id=ChIJ48Oti9AtAG8R3bJwNLwhlcE
