title,totalScore,reviewsCount,street,city,regions serviced,state,countryCode,website,phone,categoryName,url
Lab Outreach Services of EAMC,3.4,27,121 N 20th St Building 22,Opelika,,Alabama,US,https://www.eastalabamahealth.org/location/lab-outreach-building-22,(334) 528-4460,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Lab%20Outreach%20Services%20of%20EAMC&query_place_id=ChIJx7pAPdOSjIgRlteYdutqXHU
Lifesouth Community Blood Center,4.2,22,4139 Carmichael Rd,Montgomery,,Alabama,US,http://www.lifesouth.org/,(334) 260-0803,Blood donation center,https://www.google.com/maps/search/?api=1&query=Lifesouth%20Community%20Blood%20Center&query_place_id=ChIJY_WT-v_h-hQRNCwZ9Im-DOg
VIPcare Mobile – Grelot Commons,5,20,6720 Grelot Rd Suite D,Mobile,,Alabama,US,https://getvipcare.com/our-locations/mobile/?utm_source=GMB&utm_medium=digital&utm_campaign=Organic%20GMB,(251) 274-8957,Medical clinic,https://www.google.com/maps/search/?api=1&query=VIPcare%20Mobile%20%E2%80%93%20Grelot%20Commons&query_place_id=ChIJ77gZ93azm4gRvdOwovUUarM
NyWes Phlebotomy & Mobile Health Services LLC,2.6,5,2740 Central Pkwy #5,Montgomery,,Alabama,US,https://nywes.com/,(334) 233-1485,Medical clinic,https://www.google.com/maps/search/?api=1&query=NyWes%20Phlebotomy%20%26%20Mobile%20Health%20Services%20LLC&query_place_id=ChIJNWWQmP8qjIgRLvyh40--Krk
Safe Hands Phlebotomy LLC,3.7,3,3263 Demetropolis Rd Suite 9,Mobile,,Alabama,US,,(251) 263-0012,Surgical center,https://www.google.com/maps/search/?api=1&query=Safe%20Hands%20Phlebotomy%20LLC&query_place_id=ChIJ0z9pjwxNmogR9tFiuMOK_Ns
Saad Medical Equipment,3.4,28,1515 S University Blvd,Mobile,,Alabama,US,http://www.saadhealthcare.com/,(251) 343-2990,Medical supply store,https://www.google.com/maps/search/?api=1&query=Saad%20Medical%20Equipment&query_place_id=ChIJH8sP7i5NmogRIqEaGq8Ifp8
"Saad Healthcare Career Training CNA, CMA",4.9,54,1515 S University Blvd ste e,Mobile,,Alabama,US,https://saadhealthcare.com/career-training/,(251) 287-8875,Technical school,https://www.google.com/maps/search/?api=1&query=Saad%20Healthcare%20Career%20Training%20CNA%2C%20CMA&query_place_id=ChIJEXDb7y5NmogR2w9O-dnOYDM
Lab Outreach at Building 22,5,2,122 N 20th St,Opelika,,Alabama,US,https://www.eamc.org/location/lab-outreach-at-building-22,(334) 528-4460,Medical clinic,https://www.google.com/maps/search/?api=1&query=Lab%20Outreach%20at%20Building%2022&query_place_id=ChIJ78VNIf6TjIgRZAFB-pEyFf0
Victory Professional Development Center,4.4,18,3100 Cottage Hill Rd bldg 2 ste 200,Mobile,,Alabama,US,http://www.victoryprofessional.org/,(251) 222-0866,Training center,https://www.google.com/maps/search/?api=1&query=Victory%20Professional%20Development%20Center&query_place_id=ChIJDUpg4hJNmogRV6_D2EKhxtg
Labcorp,3.1,34,1034 Ross Clark Cir,Dothan,,Alabama,US,https://locations.labcorp.com/al/dothan/2135/,(334) 792-0902,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJxxCKWnmTkogRyseyOU-DGwI
Professional Medical Trainers of Alaska,1,3,281 Main St,Wasilla,,Alaska,US,,(907) 373-6357,Laboratory,https://www.google.com/maps/search/?api=1&query=Professional%20Medical%20Trainers%20of%20Alaska&query_place_id=ChIJJ5oltW_eyFYRG8kFX9uFI9s
Valley Phlebotomy Service LLC.,3.4,9,951 Bogard Rd STE 102,Wasilla,,Alaska,US,https://www.facebook.com/Valley-Phlebotomy-Service-LLC-126436710743825/,(907) 376-6435,Drug testing service,https://www.google.com/maps/search/?api=1&query=Valley%20Phlebotomy%20Service%20LLC.&query_place_id=ChIJLWRoyD_eyFYRAa0a0K4znyc
"Northern Sky Phlebotomy Services, LLC",5,3,3327 Fairbanks St Unit E,Anchorage,,Alaska,US,,(907) 302-1674,Medical clinic,https://www.google.com/maps/search/?api=1&query=Northern%20Sky%20Phlebotomy%20Services%2C%20LLC&query_place_id=ChIJXbGHS0sfZY0RIrrsGWOH1Cg
Phlebotomy Training Specialists,5,37,3030 Denali St STE 10,Anchorage,,Alaska,US,https://www.phlebotomyusa.com/alaska/anchorage-phlebotomy-school-classes/?c=anchorage,(701) 404-9434,Vocational school,https://www.google.com/maps/search/?api=1&query=Phlebotomy%20Training%20Specialists&query_place_id=ChIJf0aX8wSXyFYRlseaUefv-WY
Northwest Phlebotomy School Anchorage,5,24,721 Depot Dr Suite 118,Anchorage,,Alaska,US,https://www.nwphlebotomyschool.com/,(360) 522-3226,Vocational school,https://www.google.com/maps/search/?api=1&query=Northwest%20Phlebotomy%20School%20Anchorage&query_place_id=ChIJQ7zrBC29yFYRRssXdrwL5u8
Northern Sky Mobile Phlebotomy Services,,0,624 W International Airport Rd,Anchorage,,Alaska,US,https://www.northernskymobilephlebotomy.com/schedule-mobile-phlebotomy-services,(907) 302-1674,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Northern%20Sky%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJ__8vjJKXyFYROOVMifXzQ5c
ALS Geochemistry - Fairbanks,4.9,9,1060 Bush St,Fairbanks,,Alaska,US,https://www.alsglobal.com/en/geochemistry,(907) 452-2188,Laboratory,https://www.google.com/maps/search/?api=1&query=ALS%20Geochemistry%20-%20Fairbanks&query_place_id=ChIJ345pHyhFMlERMHDXePn8Z00
"Mobile Phlebotomy Arizona, LLC",5,1,455 N Mesa Dr Suite 16B,Mesa,,Arizona,US,http://www.mobilephlebotomyarizona.com/,(480) 565-7621,Medical group,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Arizona%2C%20LLC&query_place_id=ChIJRdKb2SenK4cRIipWqf9JRxs
XtreamVein Mobile Phlebotomy,5,7,"Floors 1&2, 3707 E Southern Ave",Mesa,,Arizona,US,https://xtreamvein.com/,(480) 577-9373,Home health care service,https://www.google.com/maps/search/?api=1&query=XtreamVein%20Mobile%20Phlebotomy&query_place_id=ChIJlxRdz9WvK4cRXRFPM0OdLWI
Ideal Mobile Lab Services LLC,5,9,Phoenix Metro,Phoenix,,Arizona,US,http://www.idealmobilelabservices.com/,(623) 272-0832,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Ideal%20Mobile%20Lab%20Services%20LLC&query_place_id=ChIJZ8kttEgTK4cReQx4wyBJ0LY
"PediaLabs, LLC",5,308,4653 S Lakeshore Dr #1,Tempe,,Arizona,US,http://mypedialabs.com/,(480) 395-3972,Laboratory,https://www.google.com/maps/search/?api=1&query=PediaLabs%2C%20LLC&query_place_id=ChIJdxGubxcHK4cR8y_IeqBOuwY
Unique Lab Services,4.7,145,13253 N La Montana Dr # 103,Fountain Hills,,Arizona,US,http://uniquelabservices.com/,(480) 765-2677,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Unique%20Lab%20Services&query_place_id=ChIJ___L54iYK4cRYGKHehBzEcQ
One Medical Primary Care Clinic - Four Embarcadero Center,4,41,Four Embarcadero Center Lobby Level (2nd Floor,San Francisco,,CA,US,https://onemedical.com/locations/sf/4ec?y_source=1_MTA1Mzk0OTM0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(888) 663-6331,Medical clinic,https://www.google.com/maps/search/?api=1&query=One%20Medical%20Primary%20Care%20Clinic%20-%20Four%20Embarcadero%20Center&query_place_id=ChIJpRm_M2GAhYAREu3rUbBzhac
Walls Phlebotomy,5,16,210 Estates Dr,Roseville,,California,US,https://www.wallsphlebotomy.com/,(916) 741-2944,Laboratory,https://www.google.com/maps/search/?api=1&query=Walls%20Phlebotomy&query_place_id=ChIJ48Oti9AtAG8R3bJwNLwhlcE
Anzel's Touch Mobile Phlebotomy,5,1,5161 Olivia Ln,Riverside,,California,US,https://anzel-s-touch-mobile-phlebotomy.ueniweb.com/?utm_campaign=gmb,(951) 220-4166,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Anzel's%20Touch%20Mobile%20Phlebotomy&query_place_id=ChIJnyupDqa33IARlVda74uC_o4
From the Heart Mobile Phlebotomy LLC,5,1,2372 Morse Ave suite #994,Irvine,,California,US,https://www.fromtheheartmobilelabs.com/,(424) 295-5939,Blood testing service,https://www.google.com/maps/search/?api=1&query=From%20the%20Heart%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJIQkUMQnf3IARs0ucyId9fRo
Mobile Phlebotomy Services in Ventura County,5,202,1000 Town Center Dr #300,Oxnard,,California,US,http://www.thebiocells.com/,(833) 324-6235,Local medical services,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services%20in%20Ventura%20County&query_place_id=ChIJrzcIEHnl9WIRxJf0HYmEG9I
Health Top Tier- Mobile Phlebotomy Services,5,12,3101 Ocean Park Blvd Ste 100 #403,Santa Monica,,California,US,https://healthtoptier.com/,(310) 912-0633,Home health care service,https://www.google.com/maps/search/?api=1&query=Health%20Top%20Tier-%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJNa3cJWHUhWIRBG0lXDLayDM
Drawn To You Phlebotomy Care & More,5,92,770 County Square Dr #103,Ventura,,California,US,http://drawntoyoumobilephlebcare.com/,(805) 391-4756,Local medical services,https://www.google.com/maps/search/?api=1&query=Drawn%20To%20You%20Phlebotomy%20Care%20%26%20More&query_place_id=ChIJZXY2WkfGgUcRSqDMnOP9LU8
TravaLab,3.5,52,101 Jefferson Dr,Menlo Park,,California,US,http://travalab.com/,(800) 921-6933,Home health care service,https://www.google.com/maps/search/?api=1&query=TravaLab&query_place_id=ChIJE3k7fdmVj4ARTaWzDs60qqQ
Needles on Wheels Mobile Phlebotomy,,0,7869 Ventura Canyon Ave UNIT 202,Panorama City,,California,US,https://needlesonwheels.com/?utm_campaign=gmb,(818) 731-1009,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Needles%20on%20Wheels%20Mobile%20Phlebotomy&query_place_id=ChIJk0rnJISXwoAR4oh019ETwRU
Mobile Phlebotomy Services,,0,229 N Central Ave # 103,Glendale,,California,US,https://www.vitusla.com/contact,(747) 300-8050,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services&query_place_id=ChIJ3ZEqKlTAwoAR9z2vfChiOQ4
VeAr Mobile Phlebotomy,,0,705 Folsom Lake Drive Suite 250,Folsom,,California,US,http://vearmobile.com/,(408) 796-9768,Pathologist,https://www.google.com/maps/search/?api=1&query=VeAr%20Mobile%20Phlebotomy&query_place_id=ChIJZxenrX7jmoARVWR5M1WNhK8
Brentwood Center Lab,4.5,2,350 John Muir Pkwy #160,Brentwood,,California,US,https://www.sutterhealth.org/find-location/facility/brentwood-center-lab-1043246583,(510) 204-1920,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Brentwood%20Center%20Lab&query_place_id=ChIJU6_Y90b5j4ARwLZHh3_bbYA
Phlebotomy Plus,5,119,4550 Balfour Rd suite b,Brentwood,,California,US,https://www.phlebotomyplusllc.com/?utm_source=google&utm_medium=gmb&utm_campaign=brentwood,(925) 239-4922,Trade school,https://www.google.com/maps/search/?api=1&query=Phlebotomy%20Plus&query_place_id=ChIJhVtaP8b_j4ARY6mwJB8gRmg
Bevel-up Mobile Phleb,,0,1291 Canyon Side Ave,San Ramon,,California,US,https://www.bevel-up.net/,(925) 465-2443,Home health care service,https://www.google.com/maps/search/?api=1&query=Bevel-up%20Mobile%20Phleb&query_place_id=ChIJY5FDuJPtj4ARxvIVNkqeQNE
BayPLS,3.6,16,841 San Bruno Ave W Unit 100,San Bruno,,California,US,https://bayareapls.com/?utm_source=google-maps&utm_medium=organic&utm_campaign=g-map-listing-home&utm_content=san-bruno,(415) 300-4436,Laboratory,https://www.google.com/maps/search/?api=1&query=BayPLS&query_place_id=ChIJd0WXUS5_j4ARt6k6P_pbla0
All Access Healthcare,5,12,636 Winslow St,Crockett,,California,US,https://www.allaccesshealthcare.net/,(888) 341-9098,Medical clinic,https://www.google.com/maps/search/?api=1&query=All%20Access%20Healthcare&query_place_id=ChIJN_Z5d4BxhYARYbHjNqYUclM
Accu Phleb,,0,191 Sand Creek Rd Suite 202B,Brentwood,,California,US,https://www.accuphleb.com/,(650) 383-4591,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Accu%20Phleb&query_place_id=ChIJtb-o3-hSZEYR1wUN2Mohy0Y
Passionate Hands Phlebotomy Services LLC,,0,821 E 2nd St #201a,Benicia,,California,US,,(510) 776-1275,Laboratory,https://www.google.com/maps/search/?api=1&query=Passionate%20Hands%20Phlebotomy%20Services%20LLC&query_place_id=ChIJH6uext5vhYAR5eF8iECv9Qs
Precise Pokes Mobile Phlebotomy Service,,0,1652 W Texas St suite 121,Fairfield,,California,US,http://precisepokesmobilephlebotomyservice.com/,(916) 915-4669,Home health care service,https://www.google.com/maps/search/?api=1&query=Precise%20Pokes%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJZ6fP5lzfoUcRR0UuX4sIV2E
The Vein Draw Phleb Mobile Phlebotomy Service,,0,1990 N California Blvd 8th floor floor,Walnut Creek,,California,US,http://www.theveindrawphleb.com/,(925) 393-4949,Home health care service,https://www.google.com/maps/search/?api=1&query=The%20Vein%20Draw%20Phleb%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJkeqjVN5hhYARqDeLAfMaC48
5t's Mobile Collection Lab,,0,621 Tully Rd Suite 227,San Jose,,California,US,https://5t-s-mobile-collection-lab.ueniweb.com/?utm_campaign=gmb,(408) 818-9980,Medical laboratory,https://www.google.com/maps/search/?api=1&query=5t's%20Mobile%20Collection%20Lab&query_place_id=ChIJUapLnRE1joARKMCvOKaKaQk
valley mobile phlebotomy,4.7,3,2895 Newhalen St,Manteca,,California,US,https://www.valleymobilephleb.com/,(408) 718-6175,Home health care service,https://www.google.com/maps/search/?api=1&query=valley%20mobile%20phlebotomy&query_place_id=ChIJD32KdVFvSAsROwGw7eviztY
Nicks Mobile Lab LLC,,0,1255 Treat Blvd,Walnut Creek,,California,US,,(925) 279-4679,Medical clinic,https://www.google.com/maps/search/?api=1&query=Nicks%20Mobile%20Lab%20LLC&query_place_id=ChIJXUap7z1hhYARe_qE2LbOgV8
Mobile Med Services,5,7,200 Gregory Ln Suite B202,Pleasant Hill,,California,US,http://www.mobilemedservices.com/,(925) 871-8279,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Med%20Services&query_place_id=ChIJ3el_dr3tj4AR58VneR57VyA
Mills Peninsula Health Center Lab - San Mateo Campus,3.1,17,100 S San Mateo Dr 1ST FLOOR,San Mateo,,California,US,https://www.sutterhealth.org/find-location/facility/mills-health-center-lab-satellite-draw-station-san-mateo-campus-1043247023,(650) 696-4510,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mills%20Peninsula%20Health%20Center%20Lab%20-%20San%20Mateo%20Campus&query_place_id=ChIJ3fJuN3Gej4ARjrKt7BGCTs8
Laboratory Services Mountain View - El Camino Health,5,7,2500 Grant Rd,Mountain View,,California,US,https://www.getcare.elcaminohealth.org/locations/mountain-view-hospital-campus/2500-grant-rd/laboratory_svcs-mv?utm_campaign=listings&utm_source=google&utm_medium=location_link&utm_content=laboratory_svcs-mv,(650) 940-7022,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Laboratory%20Services%20Mountain%20View%20-%20El%20Camino%20Health&query_place_id=ChIJWUQMuMO3j4ARXUtrksFZGVM
Palo Alto Center Lab,2.9,18,"Lee Building, 795 El Camino Real Level A",Palo Alto,,California,US,https://www.sutterhealth.org/find-location/facility/palo-alto-center-lab-1043246897,(650) 614-3231,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Palo%20Alto%20Center%20Lab&query_place_id=ChIJwwLmzTq7j4ARs1P5iruUZGo
Albany Center Lab,4.2,6,500 San Pablo Ave,Albany,,California,US,https://www.sutterhealth.org/find-location/facility/albany-center-lab-1043246514,(510) 204-8199,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Albany%20Center%20Lab&query_place_id=ChIJsejYkiR5hYAReNfN0K5roaI
Petaluma Center Lab,3.7,9,1383 N McDowell Blvd #150,Petaluma,,California,US,https://www.sutterhealth.org/find-location/facility/sutter-pacific-medical-foundation-lab-1043247005,(707) 308-2844,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Petaluma%20Center%20Lab&query_place_id=ChIJF1IZbNC1hYARTizg8GfYxuQ
Fairfield Lab,5,2,2720 Low Ct,Fairfield,,California,US,https://www.sutterhealth.org/find-location/facility/sutter-medical-plaza-fairfield-lab-1043247010,(866) 961-8534,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Fairfield%20Lab&query_place_id=ChIJ7WfdsurQmoARQommt_IyOF0
PAMF LAB,4.7,3,1071 Blossom Hill Rd,San Jose,,California,US,https://www.sutterhealth.org/find-location/facility/san-jose-blossom-hill-center-lab,(408) 445-4040,Medical laboratory,https://www.google.com/maps/search/?api=1&query=PAMF%20LAB&query_place_id=ChIJVVlA6IczjoARCb6vMAhgmcs
Sprinter Health,5,462,4600 Bohannon Dr # 100,Menlo Park,,California,US,http://www.sprinterhealth.com/,(209) 677-7468,Home health care service,https://www.google.com/maps/search/?api=1&query=Sprinter%20Health&query_place_id=ChIJpTXqEXnNj4ARlRsq1PxEA-E
Sunnyvale 301 Center Lab,4,61,301 Old San Francisco Rd Level A,Sunnyvale,,California,US,https://www.sutterhealth.org/find-location/facility/sunnyvale-center-301-lab-1043247135,(408) 730-4377,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Sunnyvale%20301%20Center%20Lab&query_place_id=ChIJSaOOImS2j4AR1gDXRMdVk_o
BioSpecimen Solutions Inc,,0,63 Bovet Rd,San Mateo,,California,US,https://biospecimensolutions.com/,(877) 816-3521,Research institute,https://www.google.com/maps/search/?api=1&query=BioSpecimen%20Solutions%20Inc&query_place_id=ChIJlTo7Ilmej4ARLyjAnvZAv1o
Mountain View Center Lab,4.3,84,701 E El Camino Real 2nd floor,Mountain View,,California,US,https://www.sutterhealth.org/find-location/facility/mountain-view-center-lab-1043247129,(650) 934-7333,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mountain%20View%20Center%20Lab&query_place_id=ChIJiT0dRty2j4ARUEO6UsNE6ZU
TridentCare,,0,1954 Camden Ave #2,San Jose,,California,US,http://www.tridentcare.com/,,Medical diagnostic imaging center,https://www.google.com/maps/search/?api=1&query=TridentCare&query_place_id=ChIJTfAAUko1joARN4n4Aw29yIE
UCSF Lab Services at Mission Bay,4.6,9,1825 4th St Third Floor,San Francisco,,California,US,https://www.ucsfhealth.org/clinics/lab-services-at-mission-bay,(415) 514-2629,Medical laboratory,https://www.google.com/maps/search/?api=1&query=UCSF%20Lab%20Services%20at%20Mission%20Bay&query_place_id=ChIJH9sSx_R_j4ARUJQ4vO4LiQk
Labcorp,2.9,51,1440 Southgate Ave Ste 2,Daly City,,California,US,https://locations.labcorp.com/ca/daly-city/18874/,(650) 992-2986,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJH1fVVYh7j4ARBfsZDi0z4rY
UCSF Lab Services at Mount Zion,3.8,13,2330 Post St First Floor,San Francisco,,California,US,https://www.ucsfhealth.org/clinics/lab-services-at-mount-zion,(415) 885-7531,Medical laboratory,https://www.google.com/maps/search/?api=1&query=UCSF%20Lab%20Services%20at%20Mount%20Zion&query_place_id=ChIJlTNj3MmAhYARzrss1bJm030
Labcorp,3,66,2419 Forest Ave,San Jose,,California,US,https://locations.labcorp.com/ca/san-jose/23277/,(408) 557-9053,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJi15kWM3Lj4ARxpP7ovUb6uQ
Labcorp,3.6,29,4045 Lone Tree Wy Ste B,Antioch,,California,US,https://locations.labcorp.com/ca/antioch/27807/,(925) 779-0945,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJVSk4Q_JXhYARFJbX07FoUu4
ARCpoint Labs of San Rafael,4.9,87,4340 Redwood Hwy Suite A33,San Rafael,,California,US,https://arcpointlabs.com/sanrafael/,(415) 475-4620,Drug testing service,https://www.google.com/maps/search/?api=1&query=ARCpoint%20Labs%20of%20San%20Rafael&query_place_id=ChIJZ-gqZraXhYARTxN3-UJsh_M
Blood Draw in Livermore,4.6,7,1133 E Stanley Blvd,Livermore,,California,US,https://stanfordhealthcare.org/medical-clinics/blood-draw-livermore.html?cid=clinic%7Clocal%7CGoogle,(925) 416-3600,Medical clinic,https://www.google.com/maps/search/?api=1&query=Blood%20Draw%20in%20Livermore&query_place_id=ChIJqXV_Ppbnj4ARJwOVYBqUs1A
Stanford Blood Draw at Hoover Pavilion,4.7,29,211 Quarry Rd #101,Palo Alto,,California,US,https://stanfordhealthcare.org/medical-clinics/blood-draw-hoover-pavilion-lab.html?cid=clinic%7Clocal%7CGoogle,(650) 724-4750,Medical clinic,https://www.google.com/maps/search/?api=1&query=Stanford%20Blood%20Draw%20at%20Hoover%20Pavilion&query_place_id=ChIJY6anXjG7j4ARDcPw85A8Smk
Orinda Center Lab,5,6,12 Cam Encinas,Orinda,,California,US,https://www.sutterhealth.org/find-location/facility/orinda-center-lab-1043246618,(510) 204-8321,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Orinda%20Center%20Lab&query_place_id=ChIJPYYrgi59hYARgHyvonB-XRg
Labcorp,3.1,41,5860 Owens Dr Ste 120,Pleasanton,,California,US,https://locations.labcorp.com/ca/pleasanton/29872/,(925) 460-9401,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJ32ABAlXpj4AR8211IvWlckE
Santa Clara Center Lab,2.9,19,2734 El Camino Real 1st Floor,Santa Clara,,California,US,https://www.sutterhealth.org/find-location/facility/santa-clara-center-lab-1043247100,(408) 524-5708,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Santa%20Clara%20Center%20Lab&query_place_id=ChIJ_VqmrRTKj4ARspw22jkM7wQ
Labcorp,2.3,83,2147 Mowry Ave Ste C1,Fremont,,California,US,https://locations.labcorp.com/ca/fremont/21772/,(510) 793-3385,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Labcorp&query_place_id=ChIJ0bqEIYbAj4ARy0jAPAkA_yU
BayPLS,,0,331 Potrero Ave,San Francisco,,California,US,https://bayareapls.com/?utm_source=google-maps&utm_medium=organic&utm_campaign=g-map-listing-home&utm_content=san-francisco,(415) 300-4436,Medical laboratory,https://www.google.com/maps/search/?api=1&query=BayPLS&query_place_id=ChIJf38Z9DF-j4ARk8JRRdIVWvY
Patient Service Center,2.7,30,320 Dardanelli Ln. #13B,Los Gatos,,California,US,https://www.bioreference.com/patients/locations-patient-services/,(408) 370-0944,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Patient%20Service%20Center&query_place_id=ChIJgYuweAs1joARA5iqvvZiA-k
Scotts Valley Center Lab,4.2,22,4663 Scotts Valley Dr,Scotts Valley,,California,US,https://www.sutterhealth.org/find-location/facility/scotts-valley-center-lab-1043246813,(831) 462-7110,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Scotts%20Valley%20Center%20Lab&query_place_id=ChIJFeGho8pAjoAR1juNgqIOVYs
Onsite Phlebotomy Solutions,5,118,595 N La Cadena Dr STE G,Colton,,California,US,http://onsitephlebotomysolutions.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18112328423465339391,(909) 554-3386,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Onsite%20Phlebotomy%20Solutions&query_place_id=ChIJDQhBM5Wt3IARheOluwTgCIY
