name,totalScore,reviewsCount,street,regions serviced,city,state,countryCode,website,phone,categoryName,url,is_mobile_phlebotomy,is_nationwide,verified_service_areas,validation_notes
Unique Lab Services,4.7,145,13253 N La Montana Dr # 103,,Fountain Hills,Arizona,US,http://uniquelabservices.com/,(480) 765-2677,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Unique%20Lab%20Services&query_place_id=ChIJ___L54iYK4cRYGKHehBzEcQ,Yes,No,Arizona statewide,"Mobile phlebotomy leader in Arizona since 2013. Serves homebound, transportation-limited patients. BBB accredited, accepts insurance and Medicare. Skilled phlebotomists handle difficult cases."
One Medical Primary Care Clinic - Four Embarcadero Center,4,41,Four Embarcadero Center Lobby Level (2nd Floor,,San Francisco,CA,US,https://onemedical.com/locations/sf/4ec?y_source=1_MTA1Mzk0OTM0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(888) 663-6331,Medical clinic,https://www.google.com/maps/search/?api=1&query=One%20Medical%20Primary%20Care%20Clinic%20-%20Four%20Embarcadero%20Center&query_place_id=ChIJpRm_M2GAhYAREu3rUbBzhac,No,Yes,Multiple states,Fixed medical clinic locations with membership-based primary care. Not a mobile phlebotomy service.
Walls Phlebotomy,5,16,210 Estates Dr,,Roseville,California,US,https://www.wallsphlebotomy.com/,(916) 741-2944,Laboratory,https://www.google.com/maps/search/?api=1&query=Walls%20Phlebotomy&query_place_id=ChIJ48Oti9AtAG8R3bJwNLwhlcE,Yes,No,"Sacramento County, South Placer County, California","Family-owned mobile phlebotomy with 4+ years experience. Specializes in geriatrics. Serves Roseville, Rocklin, Lincoln areas. Spanish-speaking staff available. HSA/FSA accepted."
Anzel's Touch Mobile Phlebotomy,5,1,5161 Olivia Ln,,Riverside,California,US,https://anzel-s-touch-mobile-phlebotomy.ueniweb.com/?utm_campaign=gmb,(951) 220-4166,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Anzel's%20Touch%20Mobile%20Phlebotomy&query_place_id=ChIJnyupDqa33IARlVda74uC_o4,Yes,No,"Riverside, California area","Mobile phlebotomist specializing in geriatrics, provides COVID-19 swab testing. Described as 'Mobile Angel' with excellent skills for difficult blood draws. Takes extra safety precautions."
From the Heart Mobile Phlebotomy LLC,5,1,2372 Morse Ave suite #994,,Irvine,California,US,https://www.fromtheheartmobilelabs.com/,(424) 295-5939,Blood testing service,https://www.google.com/maps/search/?api=1&query=From%20the%20Heart%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJIQkUMQnf3IARs0ucyId9fRo,Yes,No,"Irvine, California area","Mobile phlebotomy established in 2017. Offers concierge services in homes/offices. Provides drug testing, DNA/Paternity testing, COVID testing, gender review. Serves newborns and up. Open 24 hours Mon-Sat."
Mobile Phlebotomy Services in Ventura County,5,202,1000 Town Center Dr #300,,Oxnard,California,US,http://www.thebiocells.com/,(833) 324-6235,Local medical services,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services%20in%20Ventura%20County&query_place_id=ChIJrzcIEHnl9WIRxJf0HYmEG9I,Yes,No,"Ventura County, California",Mobile phlebotomy service (Bio-Cells/thebiocells.com) operating in Ventura County including Oxnard. Offers convenient blood collection options.
Health Top Tier- Mobile Phlebotomy Services,5,12,3101 Ocean Park Blvd Ste 100 #403,,Santa Monica,California,US,https://healthtoptier.com/,(310) 912-0633,Home health care service,https://www.google.com/maps/search/?api=1&query=Health%20Top%20Tier-%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJNa3cJWHUhWIRBG0lXDLayDM,Yes,No,"Santa Monica, California area",Mobile phlebotomy service operating from Santa Monica. Describes itself as 'Your Trusted Phlebotomy Partner' and provides blood draws at patient locations.
Drawn To You Phlebotomy Care & More,5,92,770 County Square Dr #103,,Ventura,California,US,http://drawntoyoumobilephlebcare.com/,(805) 391-4756,Local medical services,https://www.google.com/maps/search/?api=1&query=Drawn%20To%20You%20Phlebotomy%20Care%20%26%20More&query_place_id=ChIJZXY2WkfGgUcRSqDMnOP9LU8,Yes,No,"Ventura County, California","Mobile phlebotomy exceeding standard service. Functions as independent lab for blood drawing/specimen collection. Provides specialty kit draws, self-advocating patient tests, rapid testing, biometric screening."
TravaLab,3.5,52,101 Jefferson Dr,,Menlo Park,California,US,http://travalab.com/,(800) 921-6933,Home health care service,https://www.google.com/maps/search/?api=1&query=TravaLab&query_place_id=ChIJE3k7fdmVj4ARTaWzDs60qqQ,Yes,Yes,"Nationwide (headquartered in Menlo Park, CA)","Nationwide mobile phlebotomy platform. Professional phlebotomists come to homes/offices. Digital scheduling platform, $75+ service fees, partners with Myriad, IgeneX, Spectracell. Does not accept insurance."
Needles on Wheels Mobile Phlebotomy,,0,7869 Ventura Canyon Ave UNIT 202,,Panorama City,California,US,https://needlesonwheels.com/?utm_campaign=gmb,(818) 731-1009,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Needles%20on%20Wheels%20Mobile%20Phlebotomy&query_place_id=ChIJk0rnJISXwoAR4oh019ETwRU,Unknown,Unknown,"Panorama City, California (unverified)",Could not verify this specific business name and location. Search results show various mobile phlebotomy services but none matching this exact company and website combination.
Mobile Phlebotomy Services,,0,229 N Central Ave # 103,,Glendale,California,US,https://www.vitusla.com/contact,(747) 300-8050,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services&query_place_id=ChIJ3ZEqKlTAwoAR9z2vfChiOQ4,Yes,No,"Glendale, California area","VitusLA - Mobile phlebotomy, specimen collection & nursing service. Works with hospice, home health, board and care facilities. Provides convenient alternative to facility visits."
VeAr Mobile Phlebotomy,,0,705 Folsom Lake Drive Suite 250,,Folsom,California,US,http://vearmobile.com/,(408) 796-9768,Pathologist,https://www.google.com/maps/search/?api=1&query=VeAr%20Mobile%20Phlebotomy&query_place_id=ChIJZxenrX7jmoARVWR5M1WNhK8,Yes,No,"California (Folsom, Sacramento, Davis, Roseville and surrounding areas)","Mobile phlebotomy serving numerous California cities. Offers blood draws, clinical study collections, corporate wellness, health risk assessments, paramedical exams for insurance."
Brentwood Center Lab,4.5,2,350 John Muir Pkwy #160,,Brentwood,California,US,https://www.sutterhealth.org/find-location/facility/brentwood-center-lab-1043246583,(510) 204-1920,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Brentwood%20Center%20Lab&query_place_id=ChIJU6_Y90b5j4ARwLZHh3_bbYA,No,No,"Brentwood, California",Fixed laboratory facility part of Sutter Health network. State-of-the-art equipment for blood work and specimen collection. Not a mobile service.
Phlebotomy Plus,5,119,4550 Balfour Rd suite b,,Brentwood,California,US,https://www.phlebotomyplusllc.com/?utm_source=google&utm_medium=gmb&utm_campaign=brentwood,(925) 239-4922,Trade school,https://www.google.com/maps/search/?api=1&query=Phlebotomy%20Plus&query_place_id=ChIJhVtaP8b_j4ARY6mwJB8gRmg,No,No,"Brentwood, California",Trade school offering phlebotomy certification training. BPPE and CDPH-LFS approved. Prepares students for National Phlebotomy Certification Exam. Not a mobile phlebotomy service.
Bevel-up Mobile Phleb,,0,1291 Canyon Side Ave,,San Ramon,California,US,https://www.bevel-up.net/,(925) 465-2443,Home health care service,https://www.google.com/maps/search/?api=1&query=Bevel-up%20Mobile%20Phleb&query_place_id=ChIJY5FDuJPtj4ARxvIVNkqeQNE,,,,
BayPLS,3.6,16,841 San Bruno Ave W Unit 100,,San Bruno,California,US,https://bayareapls.com/?utm_source=google-maps&utm_medium=organic&utm_campaign=g-map-listing-home&utm_content=san-bruno,(415) 300-4436,Laboratory,https://www.google.com/maps/search/?api=1&query=BayPLS&query_place_id=ChIJd0WXUS5_j4ARt6k6P_pbla0,Yes,No,"San Francisco Bay Area, California",Bay Area Phlebotomy and Laboratory Services. Mobile phlebotomy and laboratory services with locations in San Bruno and San Francisco. Provides convenient specimen collection.
All Access Healthcare,5,12,636 Winslow St,,Crockett,California,US,https://www.allaccesshealthcare.net/,(888) 341-9098,Medical clinic,https://www.google.com/maps/search/?api=1&query=All%20Access%20Healthcare&query_place_id=ChIJN_Z5d4BxhYARYbHjNqYUclM,,,,
Accu Phleb,,0,191 Sand Creek Rd Suite 202B,,Brentwood,California,US,https://www.accuphleb.com/,(650) 383-4591,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Accu%20Phleb&query_place_id=ChIJtb-o3-hSZEYR1wUN2Mohy0Y,,,,
Passionate Hands Phlebotomy Services LLC,,0,821 E 2nd St #201a,,Benicia,California,US,,(510) 776-1275,Laboratory,https://www.google.com/maps/search/?api=1&query=Passionate%20Hands%20Phlebotomy%20Services%20LLC&query_place_id=ChIJH6uext5vhYAR5eF8iECv9Qs,,,,
Precise Pokes Mobile Phlebotomy Service,,0,1652 W Texas St suite 121,,Fairfield,California,US,http://precisepokesmobilephlebotomyservice.com/,(916) 915-4669,Home health care service,https://www.google.com/maps/search/?api=1&query=Precise%20Pokes%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJZ6fP5lzfoUcRR0UuX4sIV2E,,,,
The Vein Draw Phleb Mobile Phlebotomy Service,,0,1990 N California Blvd 8th floor floor,,Walnut Creek,California,US,http://www.theveindrawphleb.com/,(925) 393-4949,Home health care service,https://www.google.com/maps/search/?api=1&query=The%20Vein%20Draw%20Phleb%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJkeqjVN5hhYARqDeLAfMaC48,,,,
5t's Mobile Collection Lab,,0,621 Tully Rd Suite 227,,San Jose,California,US,https://5t-s-mobile-collection-lab.ueniweb.com/?utm_campaign=gmb,(408) 818-9980,Medical laboratory,https://www.google.com/maps/search/?api=1&query=5t's%20Mobile%20Collection%20Lab&query_place_id=ChIJUapLnRE1joARKMCvOKaKaQk,,,,
valley mobile phlebotomy,4.7,3,2895 Newhalen St,,Manteca,California,US,https://www.valleymobilephleb.com/,(408) 718-6175,Home health care service,https://www.google.com/maps/search/?api=1&query=valley%20mobile%20phlebotomy&query_place_id=ChIJD32KdVFvSAsROwGw7eviztY,,,,
Nicks Mobile Lab LLC,,0,1255 Treat Blvd,,Walnut Creek,California,US,,(925) 279-4679,Medical clinic,https://www.google.com/maps/search/?api=1&query=Nicks%20Mobile%20Lab%20LLC&query_place_id=ChIJXUap7z1hhYARe_qE2LbOgV8,,,,
Mobile Med Services,5,7,200 Gregory Ln Suite B202,,Pleasant Hill,California,US,http://www.mobilemedservices.com/,(925) 871-8279,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Med%20Services&query_place_id=ChIJ3el_dr3tj4AR58VneR57VyA,,,,
Laboratory Services Mountain View - El Camino Health,5,7,2500 Grant Rd,,Mountain View,California,US,https://www.getcare.elcaminohealth.org/locations/mountain-view-hospital-campus/2500-grant-rd/laboratory_svcs-mv?utm_campaign=listings&utm_source=google&utm_medium=location_link&utm_content=laboratory_svcs-mv,(650) 940-7022,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Laboratory%20Services%20Mountain%20View%20-%20El%20Camino%20Health&query_place_id=ChIJWUQMuMO3j4ARXUtrksFZGVM,,,,
Sprinter Health,5,462,4600 Bohannon Dr # 100,,Menlo Park,California,US,http://www.sprinterhealth.com/,(209) 677-7468,Home health care service,https://www.google.com/maps/search/?api=1&query=Sprinter%20Health&query_place_id=ChIJpTXqEXnNj4ARlRsq1PxEA-E,Yes,Yes,"Nationwide (headquartered in Menlo Park, CA)",Mobile health platform combining technology with in-home visits. Offers at-home blood draws for $79. W-2 phlebotomists trained in Medical Assistant and Community Health Worker skills. Partnerships with healthcare organizations like UCI Health.
BioSpecimen Solutions Inc,,0,63 Bovet Rd,,San Mateo,California,US,https://biospecimensolutions.com/,(877) 816-3521,Research institute,https://www.google.com/maps/search/?api=1&query=BioSpecimen%20Solutions%20Inc&query_place_id=ChIJlTo7Ilmej4ARLyjAnvZAv1o,Yes,Yes,Nationwide with 200+ patient service centers (US and Canada),"Leading provider of mobile phlebotomy for clinical research, diagnostics, and academia. Provides nationwide mobile in-home specimen collections, EKGs, and diagnostic services for pharmaceutical and biotechnology industries."
TridentCare,,0,1954 Camden Ave #2,,San Jose,California,US,http://www.tridentcare.com/,,Medical diagnostic imaging center,https://www.google.com/maps/search/?api=1&query=TridentCare&query_place_id=ChIJTfAAUko1joARN4n4Aw29yIE,Yes,Yes,40 states nationwide,"ONLY national provider of portable diagnostic and imaging services. Offers bedside phlebotomy, X-ray, ultrasound. 35+ years experience. 24/7 laboratory services, COLA/CAP accredited labs."
ARCpoint Labs of San Rafael,4.9,87,4340 Redwood Hwy Suite A33,,San Rafael,California,US,https://arcpointlabs.com/sanrafael/,(415) 475-4620,Drug testing service,https://www.google.com/maps/search/?api=1&query=ARCpoint%20Labs%20of%20San%20Rafael&query_place_id=ChIJZ-gqZraXhYARTxN3-UJsh_M,Yes,No,"San Rafael, California area","Drug testing and laboratory services. Offers on-site mobile testing services for employers. DOT & non-DOT testing, DNA testing, blood draws. Walk-ins welcome for employment screening."
BayPLS,,0,331 Potrero Ave,,San Francisco,California,US,https://bayareapls.com/?utm_source=google-maps&utm_medium=organic&utm_campaign=g-map-listing-home&utm_content=san-francisco,(415) 300-4436,Medical laboratory,https://www.google.com/maps/search/?api=1&query=BayPLS&query_place_id=ChIJf38Z9DF-j4ARk8JRRdIVWvY,Yes,No,"San Francisco Bay Area, California",Bay Area Phlebotomy and Laboratory Services. Mobile phlebotomy and laboratory services with locations in San Bruno and San Francisco. Provides convenient specimen collection.
Patient Service Center,2.7,30,320 Dardanelli Ln. #13B,,Los Gatos,California,US,https://www.bioreference.com/patients/locations-patient-services/,(408) 370-0944,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Patient%20Service%20Center&query_place_id=ChIJgYuweAs1joARA5iqvvZiA-k,No,Yes,National (part of BioReference Laboratories),"Fixed patient service center location part of BioReference Laboratories network, not a mobile phlebotomy service."
Onsite Phlebotomy Solutions,5,118,595 N La Cadena Dr STE G,,Colton,California,US,http://onsitephlebotomysolutions.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18112328423465339391,(909) 554-3386,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Onsite%20Phlebotomy%20Solutions&query_place_id=ChIJDQhBM5Wt3IARheOluwTgCIY,Yes,No,"San Bernardino County, California (Colton, West Covina, San Diego, Los Angeles, Rialto, Grand Terrace, Loma Linda)","Leader in home blood draw services in Southern California. Certified technicians provide stat draws, routine draws, specialty kits. Monday-Friday 7am-5pm service."
Rohnert Park Center Lab,3.3,21,6000 State Farm Dr #150,,Rohnert Park,California,US,https://www.sutterhealth.org/find-location/facility/6000-state-farm-drive-lab-1043247302,(707) 588-3020,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Rohnert%20Park%20Center%20Lab&query_place_id=ChIJd-SCEk9KhIARaSGhpMxqSlY,No,No,"Rohnert Park, California",Fixed laboratory facility part of Sutter Health network. Not a mobile phlebotomy service.
Watsonville Center Lab,3.7,3,550 S Green Valley Rd,,Watsonville,California,US,https://www.sutterhealth.org/find-location/facility/watsonville-center-lab-1043246927,(831) 462-7110,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Watsonville%20Center%20Lab&query_place_id=ChIJZ5jdD_cajoARioF4DiJDXa8,No,No,"Watsonville, California",Fixed laboratory facility part of Sutter Health network. Not a mobile phlebotomy service.
Natera Patient Service Center,4.5,33,15215 National Ave #103,,Los Gatos,California,US,https://www.natera.com/,(408) 357-9882,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Natera%20Patient%20Service%20Center&query_place_id=ChIJWULgUzQ1joAR7NuNGkQHBh4,No,Yes,National (genetic testing company),Fixed patient service center for Natera genetic testing company. Not a mobile phlebotomy service.
American Red Cross Solano County,3.8,6,490 Chadbourne Rd STE A134,,Fairfield,California,US,http://www.redcross.org/,(707) 438-7060,Social services organization,https://www.google.com/maps/search/?api=1&query=American%20Red%20Cross%20Solano%20County&query_place_id=ChIJuewpTswVhYARP8Dt-tRUXMk,No,Yes,National,"Blood donation center, part of American Red Cross network. Not a mobile phlebotomy service."
TridentCare,,0,7075 Redwood Blvd Suite M,,Novato,California,US,http://www.tridentcare.com/,,Medical diagnostic imaging center,https://www.google.com/maps/search/?api=1&query=TridentCare&query_place_id=ChIJR5qLbkm9hYARbCOALRWtjrk,Yes,Yes,40 states nationwide,"ONLY national provider of portable diagnostic and imaging services. Offers bedside phlebotomy, X-ray, ultrasound. 35+ years experience. 24/7 laboratory services, COLA/CAP accredited labs."
Quanta Laboratories,4.8,44,3199 De La Cruz Blvd,,Santa Clara,California,US,http://www.quantalabs.com/,(408) 988-0770,Laboratory,https://www.google.com/maps/search/?api=1&query=Quanta%20Laboratories&query_place_id=ChIJm29Y933Jj4ARXcSg5owtt7E,No,No,"Santa Clara, California",Fixed laboratory facility specializing in clinical diagnostics. Not a mobile phlebotomy service.
Full Service Mobile Lab Co.,4.6,29,4455 Murphy Canyon Rd #100,,San Diego,California,US,http://fullservicemobilelab.com/,(619) 943-3200,Blood testing service,https://www.google.com/maps/search/?api=1&query=Full%20Service%20Mobile%20Lab%20Co.&query_place_id=ChIJXXyFnWSytAURJ2gMBVXQ8OM,Yes,No,"San Diego County, California (San Diego, La Jolla, Rancho Bernardo, Coronado, Point Loma, Carlsbad, Del Mar, Escondido, Chula Vista, etc.)","Expert mobile blood draws 24/7. Licensed phlebotomists use butterfly needles. Black-owned, Women-owned business. Offers cancer screenings, lab kits, urinalysis, PT/INR monitoring."
Gateway Mobile Phlebotomy,,0,400 Corporate Pointe #300,,Culver City,California,US,,(323) 744-2653,Laboratory,https://www.google.com/maps/search/?api=1&query=Gateway%20Mobile%20Phlebotomy&query_place_id=ChIJHXW1ASe3woAR66k3Mwm1LhM,Yes,No,"Culver City, California area",Mobile phlebotomy laboratory service operating from Culver City. Limited online presence.
North Valley Mobile Phlebotomy,5,3,1000 Lincoln Rd ste h,,Yuba City,California,US,http://northvalleylaboratory.com/,(530) 649-7945,Home health care service,https://www.google.com/maps/search/?api=1&query=North%20Valley%20Mobile%20Phlebotomy&query_place_id=ChIJW4U-bABTm4AR0yYYm6X3N6w,Yes,No,"North Valley region, California (Yuba City and surrounding areas)",North Valley Laboratory mobile phlebotomy service. Provides no-cost in-home lab services. Licensed and insured phlebotomists with 14+ years experience.
