name,totalScore,reviewsCount,street,regions serviced,city,state,countryCode,website,phone,categoryName,url,is_mobile_phlebotomy,is_nationwide,verified_service_areas,validation_notes,logo,profileImage,businessImages,bio,foundedYear,teamSize,yearsExperience,zipCodes,serviceRadius,travelFee,googlePlaceId,testimonials,certifications,licenseNumber,insuranceAmount,specialties,emergencyAvailable,weekendAvailable,email,contactPerson,languages
Radiant Recharge,5.0,55.0,466 SW Port St Lucie Blvd #114,"Port St. Lucie, Florida area",Port St. Lucie,Florida,US,https://www.radiantrecharge.com/,(772) 837-0500,Wellness center,https://www.google.com/maps/search/?api=1&query=Radiant%20Recharge&query_place_id=ChIJc_dyrc8bzWsRrb1iRV6QqUI,No,No,"Port St. Lucie, Florida","Wellness center, not a mobile phlebotomy service.",https://radiantrecharge.com/wp-content/uploads/2023/11/Radiant-Recharge-logo-dark-300-250x90.png,,,"Radiant Recharge – We will leave you feeling recharged, refreshed, and relaxed!                                                   Skip to content           Lab collection services now offered, onsite and mobile!       Booking  About Us  Healthcare Referrals  Partners  Testimonials  Contact                       Medical Weight Loss  IV Therapy  Peptide Therapy  Lab Services  Nurse Concierge  MLD Services  General Wellness                 Lab collection services now offered, onsite and mobile!                       Main Menu                             Radiant Recharge      We will leave you feeling recharged, refreshed, and relaxed!      At Radiant Recharge, it is our mission to make health and wellness convenient and tailored to you, whether it’s at our center or right at your doorstep, because feeling great should be easy and personal. Lucie       Fort Pierce       River Park       White City       Jensen Beach       Stuart       Palm City       Indiantown       Vero Beach       Indian River Shores       Sebastian       Fellsmere       and more!                    What we do      Radiant Recharge is your premier destination for comprehensive health and wellness solutions.",,,,34953,,,ChIJc_dyrc8bzWsRrb1iRV6QqUI,,CERTIFIED,,,,True,True,,,English
Immuno Laboratories,5.0,6.0,6801 Powerline Rd,"Fort Lauderdale, Florida area",Fort Lauderdale,Florida,US,https://www.immunolabs.com/,(954) 691-2500,Laboratory,https://www.google.com/maps/search/?api=1&query=Immuno%20Laboratories&query_place_id=ChIJ6z3e2LoD2YgR9sPR0OjqTkA,No,No,"Fort Lauderdale, Florida","Fixed laboratory location, not a mobile phlebotomy service.",,,,"Immuno Laboratories provides mobile phlebotomy services in Fort Lauderdale, Florida.",,,,,,,ChIJ6z3e2LoD2YgR9sPR0OjqTkA,,ASCP Certified,,,,False,False,,,English
Any Lab Test Now with Arcpoint Labs,4.6,173.0,23016 Sandalfoot Plaza Dr,"Boca Raton, Florida area",Boca Raton,Florida,US,https://www.anylabtestnow.com/boca-raton-33428/,(561) 237-5009,Blood testing service,https://www.google.com/maps/search/?api=1&query=Any%20Lab%20Test%20Now%20with%20Arcpoint%20Labs&query_place_id=ChIJeywTV5Ab2YgR0EJcO8Ip92s,No,Yes,National franchise network,"Fixed location blood testing service franchise, not a mobile phlebotomy service.",,,,"Find us     $-$$  ANY LAB TEST NOW® - Boca Raton, FL    Find a Location                      How it works   How it Works  FAQs  Schedule an Appointment    General Health  Drugs and Alcohol  DNA  STD  Nutritional Injections  Additional Tests  Business Solutions    Scheduling Available via ARCpoint Labs ®  Business & Employer Solutions scheduling is available on our location's ARCpoint Labs ® website. com  Go back                  Welcome to Any Lab Test Now | Boca Raton, FL   Choose a test.",,,,"2,301,633,428",,,ChIJeywTV5Ab2YgR0EJcO8Ip92s,,NHA,,$139 ,Corporate,False,True,,,English
Cell Science Systems,3.1,19.0,852 S Military Trail,"Deerfield Beach, Florida area",Deerfield Beach,Florida,US,https://cellsciencesystems.com/,(954) 426-2304,Laboratory,https://www.google.com/maps/search/?api=1&query=Cell%20Science%20Systems&query_place_id=ChIJq6qqqn4d2YgRJf8TTRwNo_I,No,No,"Deerfield Beach, Florida","Fixed laboratory location, not a mobile phlebotomy service.",,,,"Cell Science Systems provides mobile phlebotomy services in Deerfield Beach, Florida.",,,,,,,ChIJq6qqqn4d2YgRJf8TTRwNo_I,,ASCP Certified,,,,False,False,,,English
DNA Profiles Inc.,5.0,179.0,1509 NE 167th St,"North Miami Beach, Florida area",North Miami Beach,Florida,US,https://www.mydnaprofiles.com/,(305) 947-3990,Paternity testing service,https://www.google.com/maps/search/?api=1&query=DNA%20Profiles%20Inc.&query_place_id=ChIJiYDWbMat2YgRFpd6V4wFDC4,No,No,"North Miami Beach, Florida","Paternity testing service with fixed location, not a mobile phlebotomy service.",,,,| North Miami Beach                   top of page DNA PROFILES INC. For Those Seeking The Truth      RELATIONSHIP DNA TESTING SCHEDULE ONLINE MOBILE BLOOD COLLECTION Avoid crowded waiting rooms and streamline your healthcare experience.,,,,,,,ChIJiYDWbMat2YgRFpd6V4wFDC4,,ASCP Certified,,,,False,True,contact@mydnaprofiles.com,,English
"Apex Laboratory, Inc.",2.8,31.0,800 NW 17th Ave,"Delray Beach, Florida area",Delray Beach,Florida,US,http://www.apexlabinc.com/,(561) 279-1852,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Apex%20Laboratory%2C%20Inc.&query_place_id=ChIJQbwf8w7f2IgRNoDyY6ErSJ4,No,No,"Delray Beach, Florida","Fixed medical laboratory location, not a mobile phlebotomy service.",,,,"Apex Laboratory, Inc. provides mobile phlebotomy services in Delray Beach, Florida.",,,,,,,ChIJQbwf8w7f2IgRNoDyY6ErSJ4,,ASCP Certified,,,,False,False,,,English
VENI SOLUTIONS MOBILE PHLEBOTOMY,,0.0,Federal Hwy,"Boynton Beach, Florida area",Boynton Beach,Florida,US,,(561) 710-0624,Laboratory,https://www.google.com/maps/search/?api=1&query=VENI%20SOLUTIONS%20MOBILE%20PHLEBOTOMY&query_place_id=ChIJ7dMFRPTf2IgR-kDK0SCMLvY,Yes,No,"Boynton Beach, Florida area",Mobile phlebotomy service operating in Palm Beach County area. Listed among top mobile phlebotomy services in Boynton Beach.,,,,"VENI SOLUTIONS MOBILE PHLEBOTOMY provides mobile phlebotomy services in Boynton Beach, Florida.",,,,,,,ChIJ7dMFRPTf2IgR-kDK0SCMLvY,,ASCP Certified,,,,False,False,,,English
Angel Touch Mobile Phlebotomy Services LLC,5.0,9.0,920 Coral Ridge Dr,"Coral Springs, Florida area",Coral Springs,Florida,US,,(716) 708-3788,Blood testing service,https://www.google.com/maps/search/?api=1&query=Angel%20Touch%20Mobile%20Phlebotomy%20Services%20LLC&query_place_id=ChIJNe7Un7QP2YgRRZrqNlZmyFE,Yes,No,"Broward County, Miami-Dade County, Palm Beach County, Florida",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.,,,,"Angel Touch Mobile Phlebotomy Services LLC provides mobile phlebotomy services in Coral Springs, Florida.",,,,,,,ChIJNe7Un7QP2YgRRZrqNlZmyFE,,ASCP Certified,,,,False,False,,,English
TLC Concierge Mobile Lab LLC,5.0,20.0,433 Plaza Real,"Boca Raton, Florida area",Boca Raton,Florida,US,http://tlcconciergemobilelab.com/,(213) 315-3909,Blood testing service,https://www.google.com/maps/search/?api=1&query=TLC%20Concierge%20Mobile%20Lab%20LLC&query_place_id=ChIJYa7DNcHj2IgR-uI8tTPppt0,Yes,No,"Palm Beach and Broward Counties, Florida","Women-owned mobile phlebotomy service. Offers blood labs, DNA testing, hormone testing. Mobile service to homes, yachts, offices, hotels.","http://img1.wsimg.com/isteam/ip/8edd51c2-81d5-44de-bc14-4d05e98fe030/49228D6C-4063-4EA5-9F28-2AA26B60CB3B.jpeg/:/rs=h:200,cg:true,m/qt=q:95",,,Mobile Blood Draw Services Near Me - TLC Concierge Mobile Lab               Home Shop More Home Shop Sign In Create Account Bookings My Account Signed in as: filler@godaddy. ***** TLC Concierge Mobile Lab Phone: 213-315-3909 Email: sales@conciergemobilelab.,,,,,,,ChIJYa7DNcHj2IgR-uI8tTPppt0,,CERTIFIED,,,,True,False,filler@godaddy.com,,English
A&M Labs & Wellness & Mobile Services,4.9,39.0,1500 W Cypress Creek Rd # 303,"Fort Lauderdale, Florida area",Fort Lauderdale,Florida,US,http://amwelllabs.com/,(954) 687-1204,Blood testing service,https://www.google.com/maps/search/?api=1&query=A%26M%20Labs%20%26%20Wellness%20%26%20Mobile%20Services&query_place_id=ChIJD24ksN0D2YgRuQ2D_Xcx0sI,Yes,No,"Fort Lauderdale, Florida area",Blood testing service offering mobile services alongside fixed location services.,,,,"A&M Labs & Wellness & Mobile Services             top of page A&M Labs and Wellness  & Mobile Services Empowering Your Health with Innovative Labs, Wellness, and Mobile Preventative Care Solutions. Every patient results and information is confidential we are HIPPA and OSHA compliant A&M Labs & Wellness & Mobile Services has policies and procedures that outline directives for maintaining the privacy PHI.",,,,,,,ChIJD24ksN0D2YgRuQ2D_Xcx0sI,,ASCP Certified,,,Pediatric,False,False,Amp@amphlebotomy.com,,English
BLOODLNK LLC,4.0,5.0,2505 Flagler Ave,"Key West, Florida area",Key West,Florida,US,,(866) 932-1097,Laboratory,https://www.google.com/maps/search/?api=1&query=BLOODLNK%20LLC&query_place_id=ChIJ54_rZNCx0YgRcrP_s88g8_8,Unknown,Unknown,"Key West, Florida",Limited information available. Laboratory service but unclear if mobile services offered.,,,,"BLOODLNK LLC provides mobile phlebotomy services in Key West, Florida.",,,,,,,ChIJ54_rZNCx0YgRcrP_s88g8_8,,ASCP Certified,,,,False,False,,,English
A-1 Screenings/mobile services,5.0,5.0,856 Ellicott Cir NW,"Port Charlotte, Florida area",Port Charlotte,Florida,US,http://getmea1.com/,(239) 691-1436,Drug testing service,https://www.google.com/maps/search/?api=1&query=A-1%20Screenings%2Fmobile%20services&query_place_id=ChIJ305LEmmp3IgRhEH1galIP4s,Yes,No,"Port Charlotte, Florida area",Drug testing service that offers mobile services including mobile blood testing.,,,,TIMELY  The Leaders in SWFL for Fingerprinting  ﻿ & Drug Testing Services      Contact Us Today   WELLNESS/INSURANCE PHYSICALS CALL FOR PRICING         Florida Drug Testing & Fingerprinting Facility    Florida Drug Testing & Fingerprinting Facility                    Mobile Testing Available            Walk-Ins Welcome                   Probation Drug & Alcohol Testing                Emergency Services           A-1 Fingerprinting & Drug Screening offers the most affordable and accurate fingerprinting and drug screening results in Florida. A-1’s state-of-the-art facility utilizes the most advanced forms of drug testing.,,,,"13,641,342,873,390,400,000,000,000,000,000,000",,,ChIJ305LEmmp3IgRhEH1galIP4s,,ASCP Certified,,,Home Visits,True,True,info@getmea1.com,,English
Phlebotek Solutions,5.0,29.0,333 Las Olas Way,"Fort Lauderdale, Florida area",Fort Lauderdale,Florida,US,,(224) 400-6051,Medical group,https://www.google.com/maps/search/?api=1&query=Phlebotek%20Solutions&query_place_id=ChIJTcRjI34B2YgRNx5CBVV4CnI,Unknown,Unknown,"Fort Lauderdale, Florida","Medical group with phlebotomy in name, but unclear if mobile services offered.",,,,"Phlebotek Solutions provides mobile phlebotomy services in Fort Lauderdale, Florida.",,,,,,,ChIJTcRjI34B2YgRNx5CBVV4CnI,,ASCP Certified,,,,False,False,,,English
Minustouchmobilephlebotomyservices.health,5.0,5.0,980 N Federal Hwy Suites 110,"Boca Raton, Florida area",Boca Raton,Florida,US,https://www.minustouchmobilephlebotomyservices.health/,(877) 637-4506,Health spa,https://www.google.com/maps/search/?api=1&query=Minustouchmobilephlebotomyservices.health&query_place_id=ChIJGZ6Am27h2IgRHi1p4Dj78JE,Yes,No,"Boca Raton, Florida area",Mobile phlebotomy service - clear from company name and domain. Health spa categorization may be error.,,,,"Minustouchmobilephlebotomyservices.health provides mobile phlebotomy services in Boca Raton, Florida.",,,,33432,,,ChIJGZ6Am27h2IgRHi1p4Dj78JE,,CERTIFIED,,,,False,False,karlyne@minustouchmobilephlebotomyservices.health,,English
MyTest Diagnostics,4.6,31.0,9671 Gladiolus Dr #102,"Fort Myers, Florida area",Fort Myers,Florida,US,,(239) 935-7775,Medical laboratory,https://www.google.com/maps/search/?api=1&query=MyTest%20Diagnostics&query_place_id=ChIJVx2ACP4-24gRotxNwZvbzAU,No,No,"Fort Myers, Florida","Fixed medical laboratory location, not a mobile phlebotomy service.",,,,"MyTest Diagnostics provides mobile phlebotomy services in Fort Myers, Florida.",,,,,,,ChIJVx2ACP4-24gRotxNwZvbzAU,,ASCP Certified,,,,False,False,,,English
K&E Medical Training Center,4.9,152.0,1469 Colonial Blvd #200,"Fort Myers, Florida area",Fort Myers,Florida,US,https://kemedicaltrainingcenter.com/,(239) 206-1967,Medical school,https://www.google.com/maps/search/?api=1&query=K%26E%20Medical%20Training%20Center&query_place_id=ChIJtcaTTaVr24gRoWUeFyws_2w,No,No,"Fort Myers, Florida","Medical training school, not a mobile phlebotomy service.",,,,"K&E Medical Training Center provides mobile phlebotomy services in Fort Myers, Florida.",,,,,,,,,ASCP Certified,,,,No,Yes,,,English
Mobile Labsblood Services LLC,5.0,9.0,1251 Taylor Ln Suite 6A 2,"Lehigh Acres, Florida area",Lehigh Acres,Florida,US,https://www.httpsmobilelabsblood.com/,(239) 483-5311,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Labsblood%20Services%20LLC&query_place_id=ChIJwcOalUECnkQRbMOBxziDYEY,Yes,No,"Lehigh Acres, Florida area",Mobile laboratory services - company name clearly indicates mobile specialization.,,,,"Mobile Labsblood Services LLC provides mobile phlebotomy services in Lehigh Acres, Florida.",,,,,,,ChIJwcOalUECnkQRbMOBxziDYEY,,ASCP Certified,,,,False,False,,,English
Premier Mobile Phlebotomy,5.0,2.0,430 Muskegon Ave,"Fort Myers, Florida area",Fort Myers,Florida,US,,(239) 238-0992,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Premier%20Mobile%20Phlebotomy&query_place_id=ChIJ2ZXUH3IiskMRZKOWRDwEcmI,Yes,No,"Lake Jackson, Texas area",Mobile phlebotomy service - company name clearly indicates mobile phlebotomy specialization.,,,,"Premier Mobile Phlebotomy provides mobile phlebotomy services in Fort Myers, Florida.",,,,,,,ChIJ2ZXUH3IiskMRZKOWRDwEcmI,,ASCP Certified,,,,False,False,,,English
Lab Express,4.8,149.0,814 SW Pine Island Rd Suite 306,"Cape Coral, Florida area",Cape Coral,Florida,US,https://www.labexpressservices.com/,(239) 488-2457,Drug testing service,https://www.google.com/maps/search/?api=1&query=Lab%20Express&query_place_id=ChIJWdDbyClH24gRZ03W_eUZb6g,No,No,"Cape Coral, Florida","Drug testing service with fixed location, not a mobile phlebotomy service.",https://cdn.prod.website-files.com/61911892dc1f6978deaf70e4/6712b2740ad5a9be48044ccf_TSA%20Precheck%20logo.jpg,https://cdn.prod.website-files.com/61911892dc1f6978deaf70e4/61911893dc1f69a627af718d_Icon-check-green.png,,"Lab Express DRUG & ALCOHOL TESTS HEALTH LAB TESTS DNA TESTS SERVICES Drug & Alcohol Tests Health Lab Tests DNA Tests DOT Services TSA Precheck, TWIC Fingerprints Background Checks Sign in Browse all CALL TODAY! Your Cart $ 0. Lab Express Services Drug & Alcohol Testing Drug and Alcohol screening for pre employment, post accident, DOT, randoms, court ordered, probation, etc.",,,,33991,,,ChIJWdDbyClH24gRZ03W_eUZb6g,,ASCP Certified,,$300 ,,False,False,info@labexpressservices.com,,English
Hi Doc Medical Center | Physicals | Weight Loss | Travel Vaccines | Lab | Pre-surgical Clearance| Concierge Medicine,4.9,251.0,3040 E Commercial Blvd,"Fort Lauderdale, Florida area",Fort Lauderdale,Florida,US,https://hidocmedical.com/,(954) 289-3065,Medical clinic,https://www.google.com/maps/search/?api=1&query=Hi%20Doc%20Medical%20Center%20%7C%20Physicals%20%7C%20Weight%20Loss%20%7C%20Travel%20Vaccines%20%7C%20Lab%20%7C%20Pre-surgical%20Clearance%7C%20Concierge%20Medicine&query_place_id=ChIJ96NHSi8B2YgRXC7lNFpTZ44,No,No,"Fort Lauderdale, Florida","Fixed medical clinic location offering concierge medicine, not mobile phlebotomy.",,,,"Home Page - Hi Doc Medical                                                                                             Scroll Top         3040 E Commercial Blvd (954) 289-3065             Book Appointment           0          Primary Menu  About Us  Services   Weight Loss (Semaglutide, Tirzepatide)  IV – VITAMIN INFUSION THERAPY  HRT (Bioidentical Hormone Replacement Therapy)  Hair Loss Treatment  DOT Physical  Lab Testing    Immigration Medical  Membership  Blog  Book Now  0 Cart  No products in the cart. At Hi Doc Medical, we’re dedicated to keeping you strong and vibrant for as long as possible.",,,,"3,330,933,308",,,ChIJ96NHSi8B2YgRXC7lNFpTZ44,,"CERTIFIED,NHA",,,,True,True,INFO@HIDOCMEDICAL.COM,,English
Hollywood Career Institute,4.8,499.0,1617 S 21st Ave,"Hollywood, Florida area",Hollywood,Florida,US,http://hollywoodcareerinstitute.com/,(954) 866-3220,Medical school,https://www.google.com/maps/search/?api=1&query=Hollywood%20Career%20Institute&query_place_id=ChIJRTETe4Or2YgRAwOf_bGBMBE,No,No,"Hollywood, Florida","Medical training school, not a mobile phlebotomy service.",https://www.hollywoodcareerinstitute.com/wp-content/themes/hollywoodces876/images/btm3-logo1.png,,"https://www.hollywoodcareerinstitute.com/wp-content/themes/hollywoodces876/images/slider/1.jpg,https://www.hollywoodcareerinstitute.com/wp-content/themes/hollywoodces876/images/slider/2.jpg,https://www.hollywoodcareerinstitute.com/wp-content/themes/hollywoodces876/images/slider/1.jpg","Healthcare Training | Patient Care Program | Hollywood, FL                                              Call Us Today!    Phone Number:  954-866-3220                                Menu               Close      Home   About Us    Get to Know More About Us     Training Programs   Blog   Career  Services   Forms   Certifications   International Students   Gallery   Library   Contact Us                               We Accept International Students    Our Goal Is Your Success  Apply Now!              Hello & Welcome to Hollywood Career Institute Training School in Hollywood, Florida  Patient Care Program in Florida    When looking for a reliable training school, Hollywood Career Institute continuously earns the trust of professionals seeking a career opportunity in different fields. Our top-notch certifications and healthcare training in Hollywood, Florida can help you lay a good foundation for your career.",,,,33020,,,ChIJRTETe4Or2YgRAwOf_bGBMBE,,CERTIFIED,,,,True,False,info@hollywoodcareerinstitute.com,,English
Any Lab Test Now with Arcpoint Labs,4.7,54.0,955 N University Dr,"Coral Springs, Florida area",Coral Springs,Florida,US,https://www.anylabtestnow.com/coral-springs-33071/,(954) 906-5983,Blood testing service,https://www.google.com/maps/search/?api=1&query=Any%20Lab%20Test%20Now%20with%20Arcpoint%20Labs&query_place_id=ChIJ0ayIKj0F2YgRw_aYp8hDqJM,No,Yes,National franchise network,"Fixed location blood testing service franchise, not a mobile phlebotomy service.",,,,"Find us     $-$$  ANY LAB TEST NOW® - Coral Springs, FL    Find a Location                      How it works   How it Works  FAQs  Schedule an Appointment    General Health  Drugs and Alcohol  DNA  STD  Nutritional Injections  Additional Tests  Business Solutions    Scheduling Available via ARCpoint Labs ®  Business & Employer Solutions scheduling is available on our location's ARCpoint Labs ® website. com  Go back                  Welcome to Any Lab Test Now | Coral Springs, FL   Choose a test.",,,,33071,,,ChIJ0ayIKj0F2YgRw_aYp8hDqJM,,NHA,,$129 ,Corporate,False,True,,,English
Cape Coral Technical College,4.3,64.0,360 Santa Barbara Blvd N,"Cape Coral, Florida area",Cape Coral,Florida,US,http://www.capecoraltech.edu/,(239) 574-4440,College,https://www.google.com/maps/search/?api=1&query=Cape%20Coral%20Technical%20College&query_place_id=ChIJG9r-TJ9G24gRQ-nYsOLmz-g,No,No,"Cape Coral, Florida","Educational institution/college, not a mobile phlebotomy service.",https://capecoraltech.edu/wp-content/uploads/2017/10/Cape-Coral-Tech-logo.png,,,"Cape Coral Technical College – Technical education in Cape Coral, FL    Close Menu Home Programs Agriculture Business Health Hospitality Technology Continuing Education Courses Admissions Information Sessions Program Start Dates & Application Basic Skills Assessment at CCTC Admissions Specialist Financial Aid Veterans Transcripts Information  Adult Student Code of Conduct Basic Skills Assessment at CCTC Bookstore CARES Act Catalog for Cape Coral Technical College College Central Cost of Day Programs Dual Enrollment Process Frequently Asked Questions Gainful Employment Disclosures Get Involved Homeless Student Information  Job Postings for Students & Employers Library of Lee County, Florida Magazine from CCTC Money Back Guarantee Program for Students with Intellectual Disabilities Registration & Enrollment Dates Safe Environment Safety Brochure: Campus Safety & Security Scholarships Student Handbook for CCTC Student Resources Voter Registration Forms About Accreditation Annual Facility Inspections Cape Coral Technical College Strategic Plan College Central Consumer Information Disabilities Information Statement of Nondiscrimination Policy Mission Statement Privacy Policy School History Staff Directory Our Team Contact  Skip to content    Cape Coral Technical College   Technical education in Cape Coral, FL Ver en Español  Have any questions?  239-574-4440  Contact Us       Search. 00  in cart ​ Cart ​ ​ ​
Mobile Home Care Phlebotomy,5.0,12.0,2037 Rookery Bay Dr,"Naples, Florida area",Naples,Florida,US,,(954) 440-5830,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Home%20Care%20Phlebotomy&query_place_id=ChIJGQKVlm4XcmcRx1o2NM8EDHI,Yes,No,"Naples, Florida area",Mobile phlebotomy service - company name clearly indicates mobile home care specialization.,,,,"Mobile Home Care Phlebotomy provides mobile phlebotomy services in Naples, Florida.",,,,,,,ChIJGQKVlm4XcmcRx1o2NM8EDHI,,ASCP Certified,,,,False,False,,,English
Apex Laboratories,1.0,1.0,601 N Congress Ave,South Florida,Delray Beach,Florida,US,https://apexlabinc.com/,(561) 279-1852,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Apex%20Laboratories&query_place_id=ChIJJZRdmvPf2IgRuxcdUmjHZiM,No,No,"Delray Beach, Florida","Fixed medical laboratory location, not a mobile phlebotomy service.",https://apexlabinc.com/images/northwell_logo.png,,,"Apex Laboratories provides mobile phlebotomy services in Delray Beach, Florida.",,,,,,,ChIJJZRdmvPf2IgRuxcdUmjHZiM,,ASCP Certified,,,,False,False,is-lablogix@northwell.edu,,English
Access Medical Laboratories,5.0,1182.0,5151 Corporate Way,"Jupiter, Florida area",Jupiter,Florida,US,https://accessmedlab.com/,(866) 720-8386,Blood testing service,https://www.google.com/maps/search/?api=1&query=Access%20Medical%20Laboratories&query_place_id=ChIJKx9v4I7V3ogRGJ5ylNGAQEA,No,No,"Jupiter, Florida","Fixed blood testing service location, not a mobile phlebotomy service.",,,,"Access Medical Laboratories provides mobile phlebotomy services in Jupiter, Florida.",,,,,,,ChIJKx9v4I7V3ogRGJ5ylNGAQEA,,ASCP Certified,,,,False,False,,,English
Gifted Hands Phlebotomy Llc,5.0,1.0,4909 N Monroe St,"Tallahassee, Florida area",Tallahassee,Florida,US,https://www.giftedhandsphlebotomy24.org/,,Laboratory,https://www.google.com/maps/search/?api=1&query=Gifted%20Hands%20Phlebotomy%20Llc&query_place_id=ChIJM9zgMQD37IgRqy5Q_4y1m9I,Unknown,Unknown,"Tallahassee, Florida",Laboratory service but unclear if mobile services offered. Limited information available.,,,,"Home | Gifted Hands               top of page Gifted Hands  Phlebotomy, LLC Log In (850) 322-6771 Tallahassee, FL  4909 N. Your Career Starts with You! Phlebotomist Jobs Testimonials    “I was certified in 1 month, started my job two weeks later and been happy ever since!”    Audrey Sellers    “The class was fun and very informative”    Arthur Milton “The Instructors are very patience and knowledgeable”    Taylor    ​    ​ CALL TODAY!  FL: (850) 322-6771  ​ Email: giftedhandsphlebotomy@gmail.",,,,32303,,,ChIJM9zgMQD37IgRqy5Q_4y1m9I,,CERTIFIED,,,,False,False,giftedhandsphlebotomy@gmail.com,,English
Gentle Touch Laboratory,5.0,40.0,118 Conner St NE,"Live Oak, Florida area",Live Oak,Florida,US,https://gentletouchfl.com/,(386) 205-2207,Drug testing service,https://www.google.com/maps/search/?api=1&query=Gentle%20Touch%20Laboratory&query_place_id=ChIJLZRO-5jf7ogRDBTebFmDgm4,No,No,"Live Oak, Florida","Drug testing service with fixed location, not a mobile phlebotomy service.",,,,"Gentle Touch Laboratory | Medical Laboratory               Gentle Touch Laboratory LLC Gentle Touch Laboratory LLC Gentle Touch Laboratory LLC Gentle Touch Laboratory LLC Gentle Touch Laboratory LLC Gentle Touch Laboratory LLC Gentle Touch Laboratory LLC Gentle Touch Laboratory LLC Home Our Services Classes Mock Certification DRUG TESTING BUSINESS Mobile Drug Testing Lab Specimen Collector Forms CPR Course TPA Medical TPA Services Apply Now National Collector STORE Privacy Policy More Home Our Services Classes Mock Certification DRUG TESTING BUSINESS Mobile Drug Testing Lab Specimen Collector Forms CPR Course TPA Medical TPA Services Apply Now National Collector STORE Privacy Policy Sign In Create Account Bookings Orders My Account Signed in as: filler@godaddy. com Home Our Services Classes Mock Certification DRUG TESTING BUSINESS Mobile Drug Testing Lab Specimen Collector Forms CPR Course TPA Medical TPA Services Apply Now National Collector STORE Privacy Policy Account Bookings Orders My Account Sign out Sign In Bookings Orders My Account Gentle Touch Laboratory
Patel Labs - Quest,4.8,192.0,10800 Panama City Beach Pkwy #200,"Panama City Beach, Florida area",Panama City Beach,Florida,US,http://www.patellabs850.com/,(850) 964-0808,Laboratory,https://www.google.com/maps/search/?api=1&query=Patel%20Labs%20-%20Quest&query_place_id=ChIJ8dTY2I-Pk4gR4kc51Vex1cg,No,No,"Panama City Beach, Florida","Fixed laboratory location affiliated with Quest, not a mobile phlebotomy service.",http://www.patellabs850.com/images/Logo.webp,,,"10800 Panama City Beach pkwy, Suite 200, Panama City Beach, FL 32407      8508960808   patellabs850@gmail. com                              Home    About Us    Services   General Health  Women's Health  Men's Health  Sexual Health  Allergy  Drug Testing  Test Dictionary  Mobile Phlebotomy  Men’s Hormone Panel     Contact Us                                  Welcome to   Patel Labs          Services  General Health, Women's Health, Men's Health, Sexual Health, Allergy.",,,,"3,240,710,800",,,ChIJ8dTY2I-Pk4gR4kc51Vex1cg,,ASCP Certified,,,,False,False,patellabs850@gmail.com,,English
Medi Check Direct,4.1,14.0,154 Hickory Ave W,"Crestview, Florida area",Crestview,Florida,US,http://www.medicheckdirect.com/,(850) 682-5222,Physical examination center,https://www.google.com/maps/search/?api=1&query=Medi%20Check%20Direct&query_place_id=ChIJOyXza6h0kYgRcA1V4rkTX-s,No,No,"Crestview, Florida","Physical examination center with fixed location, not a mobile phlebotomy service.",,,,"Labs and Specialty Blood Draws - Medi Check Direct            154 W Hickory Ave, Crestview FL 32536 (850) 682-5222 (850) 682-5222 Home About Us Services FAQs Contact Us More Home About Us Services FAQs Contact Us Home About Us Services FAQs Contact Us   Medi Check Direct has onsite collection for routine & specialty blood draws. Get Answers here!   Copyright © 2018 - 2020 Medi Check Direct - All Rights Reserved.",,,,32536,,,ChIJOyXza6h0kYgRcA1V4rkTX-s,,ASCP Certified,,,,False,False,,,English
Jet Medical Center - Tallahassee,2.9,35.0,1838 Jaclif Ct,"Tallahassee, Florida area",Tallahassee,Florida,US,https://jetmedicalcenter.com/jet-medical-center/,(850) 889-1234,Medical Center,https://www.google.com/maps/search/?api=1&query=Jet%20Medical%20Center%20-%20Tallahassee&query_place_id=ChIJt1kKBAdf7IgRdsVa9FTtBHk,No,No,"Tallahassee, Florida","Fixed medical center location, not a mobile phlebotomy service.",,,,"Jet Medical Center - Tallahassee provides mobile phlebotomy services in Tallahassee, Florida.",,,,,,,ChIJt1kKBAdf7IgRdsVa9FTtBHk,,ASCP Certified,,,,False,False,,,English
