title,totalScore,reviewsCount,street,regions serviced,city,state,countryCode,website,phone,categoryName,url
NyWes Phlebotomy & Mobile Health Services LLC,2.6,5,2740 Central Pkwy #5,,Montgomery,Alabama,US,https://nywes.com/,(334) 233-1485,Medical clinic,https://www.google.com/maps/search/?api=1&query=NyWes%20Phlebotomy%20%26%20Mobile%20Health%20Services%20LLC&query_place_id=ChIJNWWQmP8qjIgRLvyh40--Krk
Safe Hands Phlebotomy LLC,3.7,3,3263 Demetropolis Rd Suite 9,,Mobile,Alabama,US,,(251) 263-0012,Surgical center,https://www.google.com/maps/search/?api=1&query=Safe%20Hands%20Phlebotomy%20LLC&query_place_id=ChIJ0z9pjwxNmogR9tFiuMOK_Ns
Alaska Mobile Laboratory,4.5,4,"Mile Post 1314, Alaska Hwy #5",,Tok,Alaska,US,,(907) 883-4446,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Alaska%20Mobile%20Laboratory&query_place_id=ChIJy15-r6eJSlERKLCpyxRZ8sY
Valley Phlebotomy Service LLC.,3.4,9,951 Bogard Rd STE 102,,Wasilla,Alaska,US,https://www.facebook.com/Valley-Phlebotomy-Service-LLC-126436710743825/,(907) 376-6435,Drug testing service,https://www.google.com/maps/search/?api=1&query=Valley%20Phlebotomy%20Service%20LLC.&query_place_id=ChIJLWRoyD_eyFYRAa0a0K4znyc
"Northern Sky Phlebotomy Services, LLC",5,3,3327 Fairbanks St Unit E,,Anchorage,Alaska,US,,(907) 302-1674,Medical clinic,https://www.google.com/maps/search/?api=1&query=Northern%20Sky%20Phlebotomy%20Services%2C%20LLC&query_place_id=ChIJXbGHS0sfZY0RIrrsGWOH1Cg
Northwest Phlebotomy School Anchorage,5,24,721 Depot Dr Suite 118,,Anchorage,Alaska,US,https://www.nwphlebotomyschool.com/,(360) 522-3226,Vocational school,https://www.google.com/maps/search/?api=1&query=Northwest%20Phlebotomy%20School%20Anchorage&query_place_id=ChIJQ7zrBC29yFYRRssXdrwL5u8
Northern Sky Mobile Phlebotomy Services,,0,624 W International Airport Rd,,Anchorage,Alaska,US,https://www.northernskymobilephlebotomy.com/schedule-mobile-phlebotomy-services,(907) 302-1674,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Northern%20Sky%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJ__8vjJKXyFYROOVMifXzQ5c
ALS Geochemistry - Fairbanks,4.9,9,1060 Bush St,,Fairbanks,Alaska,US,https://www.alsglobal.com/en/geochemistry,(907) 452-2188,Laboratory,https://www.google.com/maps/search/?api=1&query=ALS%20Geochemistry%20-%20Fairbanks&query_place_id=ChIJ345pHyhFMlERMHDXePn8Z00
"Mobile Phlebotomy Arizona, LLC",5,1,455 N Mesa Dr Suite 16B,,Mesa,Arizona,US,http://www.mobilephlebotomyarizona.com/,(480) 565-7621,Medical group,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Arizona%2C%20LLC&query_place_id=ChIJRdKb2SenK4cRIipWqf9JRxs
XtreamVein Mobile Phlebotomy,5,7,"Floors 1&2, 3707 E Southern Ave",,Mesa,Arizona,US,https://xtreamvein.com/,(480) 577-9373,Home health care service,https://www.google.com/maps/search/?api=1&query=XtreamVein%20Mobile%20Phlebotomy&query_place_id=ChIJlxRdz9WvK4cRXRFPM0OdLWI
Ideal Mobile Lab Services LLC,5,9,Phoenix Metro,,Phoenix,Arizona,US,http://www.idealmobilelabservices.com/,(623) 272-0832,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Ideal%20Mobile%20Lab%20Services%20LLC&query_place_id=ChIJZ8kttEgTK4cReQx4wyBJ0LY
"PediaLabs, LLC",5,308,4653 S Lakeshore Dr #1,,Tempe,Arizona,US,http://mypedialabs.com/,(480) 395-3972,Laboratory,https://www.google.com/maps/search/?api=1&query=PediaLabs%2C%20LLC&query_place_id=ChIJdxGubxcHK4cR8y_IeqBOuwY
Unique Lab Services,4.7,145,13253 N La Montana Dr # 103,,Fountain Hills,Arizona,US,http://uniquelabservices.com/,(480) 765-2677,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Unique%20Lab%20Services&query_place_id=ChIJ___L54iYK4cRYGKHehBzEcQ
One Medical Primary Care Clinic - Four Embarcadero Center,4,41,Four Embarcadero Center Lobby Level (2nd Floor,,San Francisco,CA,US,https://onemedical.com/locations/sf/4ec?y_source=1_MTA1Mzk0OTM0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,(888) 663-6331,Medical clinic,https://www.google.com/maps/search/?api=1&query=One%20Medical%20Primary%20Care%20Clinic%20-%20Four%20Embarcadero%20Center&query_place_id=ChIJpRm_M2GAhYAREu3rUbBzhac
Walls Phlebotomy,5,16,210 Estates Dr,,Roseville,California,US,https://www.wallsphlebotomy.com/,(916) 741-2944,Laboratory,https://www.google.com/maps/search/?api=1&query=Walls%20Phlebotomy&query_place_id=ChIJ48Oti9AtAG8R3bJwNLwhlcE
Anzel's Touch Mobile Phlebotomy,5,1,5161 Olivia Ln,,Riverside,California,US,https://anzel-s-touch-mobile-phlebotomy.ueniweb.com/?utm_campaign=gmb,(951) 220-4166,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Anzel's%20Touch%20Mobile%20Phlebotomy&query_place_id=ChIJnyupDqa33IARlVda74uC_o4
From the Heart Mobile Phlebotomy LLC,5,1,2372 Morse Ave suite #994,,Irvine,California,US,https://www.fromtheheartmobilelabs.com/,(424) 295-5939,Blood testing service,https://www.google.com/maps/search/?api=1&query=From%20the%20Heart%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJIQkUMQnf3IARs0ucyId9fRo
Mobile Phlebotomy Services in Ventura County,5,202,1000 Town Center Dr #300,,Oxnard,California,US,http://www.thebiocells.com/,(833) 324-6235,Local medical services,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services%20in%20Ventura%20County&query_place_id=ChIJrzcIEHnl9WIRxJf0HYmEG9I
Health Top Tier- Mobile Phlebotomy Services,5,12,3101 Ocean Park Blvd Ste 100 #403,,Santa Monica,California,US,https://healthtoptier.com/,(310) 912-0633,Home health care service,https://www.google.com/maps/search/?api=1&query=Health%20Top%20Tier-%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJNa3cJWHUhWIRBG0lXDLayDM
Drawn To You Phlebotomy Care & More,5,92,770 County Square Dr #103,,Ventura,California,US,http://drawntoyoumobilephlebcare.com/,(805) 391-4756,Local medical services,https://www.google.com/maps/search/?api=1&query=Drawn%20To%20You%20Phlebotomy%20Care%20%26%20More&query_place_id=ChIJZXY2WkfGgUcRSqDMnOP9LU8
TravaLab,3.5,52,101 Jefferson Dr,,Menlo Park,California,US,http://travalab.com/,(800) 921-6933,Home health care service,https://www.google.com/maps/search/?api=1&query=TravaLab&query_place_id=ChIJE3k7fdmVj4ARTaWzDs60qqQ
Needles on Wheels Mobile Phlebotomy,,0,7869 Ventura Canyon Ave UNIT 202,,Panorama City,California,US,https://needlesonwheels.com/?utm_campaign=gmb,(818) 731-1009,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Needles%20on%20Wheels%20Mobile%20Phlebotomy&query_place_id=ChIJk0rnJISXwoAR4oh019ETwRU
Mobile Phlebotomy Services,,0,229 N Central Ave # 103,,Glendale,California,US,https://www.vitusla.com/contact,(747) 300-8050,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services&query_place_id=ChIJ3ZEqKlTAwoAR9z2vfChiOQ4
VeAr Mobile Phlebotomy,,0,705 Folsom Lake Drive Suite 250,,Folsom,California,US,http://vearmobile.com/,(408) 796-9768,Pathologist,https://www.google.com/maps/search/?api=1&query=VeAr%20Mobile%20Phlebotomy&query_place_id=ChIJZxenrX7jmoARVWR5M1WNhK8
Brentwood Center Lab,4.5,2,350 John Muir Pkwy #160,,Brentwood,California,US,https://www.sutterhealth.org/find-location/facility/brentwood-center-lab-1043246583,(510) 204-1920,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Brentwood%20Center%20Lab&query_place_id=ChIJU6_Y90b5j4ARwLZHh3_bbYA
Phlebotomy Plus,5,119,4550 Balfour Rd suite b,,Brentwood,California,US,https://www.phlebotomyplusllc.com/?utm_source=google&utm_medium=gmb&utm_campaign=brentwood,(925) 239-4922,Trade school,https://www.google.com/maps/search/?api=1&query=Phlebotomy%20Plus&query_place_id=ChIJhVtaP8b_j4ARY6mwJB8gRmg
Bevel-up Mobile Phleb,,0,1291 Canyon Side Ave,,San Ramon,California,US,https://www.bevel-up.net/,(925) 465-2443,Home health care service,https://www.google.com/maps/search/?api=1&query=Bevel-up%20Mobile%20Phleb&query_place_id=ChIJY5FDuJPtj4ARxvIVNkqeQNE
BayPLS,3.6,16,841 San Bruno Ave W Unit 100,,San Bruno,California,US,https://bayareapls.com/?utm_source=google-maps&utm_medium=organic&utm_campaign=g-map-listing-home&utm_content=san-bruno,(415) 300-4436,Laboratory,https://www.google.com/maps/search/?api=1&query=BayPLS&query_place_id=ChIJd0WXUS5_j4ARt6k6P_pbla0
All Access Healthcare,5,12,636 Winslow St,,Crockett,California,US,https://www.allaccesshealthcare.net/,(888) 341-9098,Medical clinic,https://www.google.com/maps/search/?api=1&query=All%20Access%20Healthcare&query_place_id=ChIJN_Z5d4BxhYARYbHjNqYUclM
Accu Phleb,,0,191 Sand Creek Rd Suite 202B,,Brentwood,California,US,https://www.accuphleb.com/,(650) 383-4591,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Accu%20Phleb&query_place_id=ChIJtb-o3-hSZEYR1wUN2Mohy0Y
Passionate Hands Phlebotomy Services LLC,,0,821 E 2nd St #201a,,Benicia,California,US,,(510) 776-1275,Laboratory,https://www.google.com/maps/search/?api=1&query=Passionate%20Hands%20Phlebotomy%20Services%20LLC&query_place_id=ChIJH6uext5vhYAR5eF8iECv9Qs
Precise Pokes Mobile Phlebotomy Service,,0,1652 W Texas St suite 121,,Fairfield,California,US,http://precisepokesmobilephlebotomyservice.com/,(916) 915-4669,Home health care service,https://www.google.com/maps/search/?api=1&query=Precise%20Pokes%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJZ6fP5lzfoUcRR0UuX4sIV2E
The Vein Draw Phleb Mobile Phlebotomy Service,,0,1990 N California Blvd 8th floor floor,,Walnut Creek,California,US,http://www.theveindrawphleb.com/,(925) 393-4949,Home health care service,https://www.google.com/maps/search/?api=1&query=The%20Vein%20Draw%20Phleb%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJkeqjVN5hhYARqDeLAfMaC48
5t's Mobile Collection Lab,,0,621 Tully Rd Suite 227,,San Jose,California,US,https://5t-s-mobile-collection-lab.ueniweb.com/?utm_campaign=gmb,(408) 818-9980,Medical laboratory,https://www.google.com/maps/search/?api=1&query=5t's%20Mobile%20Collection%20Lab&query_place_id=ChIJUapLnRE1joARKMCvOKaKaQk
valley mobile phlebotomy,4.7,3,2895 Newhalen St,,Manteca,California,US,https://www.valleymobilephleb.com/,(408) 718-6175,Home health care service,https://www.google.com/maps/search/?api=1&query=valley%20mobile%20phlebotomy&query_place_id=ChIJD32KdVFvSAsROwGw7eviztY
Nicks Mobile Lab LLC,,0,1255 Treat Blvd,,Walnut Creek,California,US,,(925) 279-4679,Medical clinic,https://www.google.com/maps/search/?api=1&query=Nicks%20Mobile%20Lab%20LLC&query_place_id=ChIJXUap7z1hhYARe_qE2LbOgV8
Mobile Med Services,5,7,200 Gregory Ln Suite B202,,Pleasant Hill,California,US,http://www.mobilemedservices.com/,(925) 871-8279,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Med%20Services&query_place_id=ChIJ3el_dr3tj4AR58VneR57VyA
Laboratory Services Mountain View - El Camino Health,5,7,2500 Grant Rd,,Mountain View,California,US,https://www.getcare.elcaminohealth.org/locations/mountain-view-hospital-campus/2500-grant-rd/laboratory_svcs-mv?utm_campaign=listings&utm_source=google&utm_medium=location_link&utm_content=laboratory_svcs-mv,(650) 940-7022,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Laboratory%20Services%20Mountain%20View%20-%20El%20Camino%20Health&query_place_id=ChIJWUQMuMO3j4ARXUtrksFZGVM
Sprinter Health,5,462,4600 Bohannon Dr # 100,,Menlo Park,California,US,http://www.sprinterhealth.com/,(209) 677-7468,Home health care service,https://www.google.com/maps/search/?api=1&query=Sprinter%20Health&query_place_id=ChIJpTXqEXnNj4ARlRsq1PxEA-E
BioSpecimen Solutions Inc,,0,63 Bovet Rd,,San Mateo,California,US,https://biospecimensolutions.com/,(877) 816-3521,Research institute,https://www.google.com/maps/search/?api=1&query=BioSpecimen%20Solutions%20Inc&query_place_id=ChIJlTo7Ilmej4ARLyjAnvZAv1o
TridentCare,,0,1954 Camden Ave #2,,San Jose,California,US,http://www.tridentcare.com/,,Medical diagnostic imaging center,https://www.google.com/maps/search/?api=1&query=TridentCare&query_place_id=ChIJTfAAUko1joARN4n4Aw29yIE
ARCpoint Labs of San Rafael,4.9,87,4340 Redwood Hwy Suite A33,,San Rafael,California,US,https://arcpointlabs.com/sanrafael/,(415) 475-4620,Drug testing service,https://www.google.com/maps/search/?api=1&query=ARCpoint%20Labs%20of%20San%20Rafael&query_place_id=ChIJZ-gqZraXhYARTxN3-UJsh_M
BayPLS,,0,331 Potrero Ave,,San Francisco,California,US,https://bayareapls.com/?utm_source=google-maps&utm_medium=organic&utm_campaign=g-map-listing-home&utm_content=san-francisco,(415) 300-4436,Medical laboratory,https://www.google.com/maps/search/?api=1&query=BayPLS&query_place_id=ChIJf38Z9DF-j4ARk8JRRdIVWvY
Patient Service Center,2.7,30,320 Dardanelli Ln. #13B,,Los Gatos,California,US,https://www.bioreference.com/patients/locations-patient-services/,(408) 370-0944,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Patient%20Service%20Center&query_place_id=ChIJgYuweAs1joARA5iqvvZiA-k
Onsite Phlebotomy Solutions,5,118,595 N La Cadena Dr STE G,,Colton,California,US,http://onsitephlebotomysolutions.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=18112328423465339391,(909) 554-3386,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Onsite%20Phlebotomy%20Solutions&query_place_id=ChIJDQhBM5Wt3IARheOluwTgCIY
Rohnert Park Center Lab,3.3,21,6000 State Farm Dr #150,,Rohnert Park,California,US,https://www.sutterhealth.org/find-location/facility/6000-state-farm-drive-lab-1043247302,(707) 588-3020,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Rohnert%20Park%20Center%20Lab&query_place_id=ChIJd-SCEk9KhIARaSGhpMxqSlY
Watsonville Center Lab,3.7,3,550 S Green Valley Rd,,Watsonville,California,US,https://www.sutterhealth.org/find-location/facility/watsonville-center-lab-1043246927,(831) 462-7110,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Watsonville%20Center%20Lab&query_place_id=ChIJZ5jdD_cajoARioF4DiJDXa8
Natera Patient Service Center,4.5,33,15215 National Ave #103,,Los Gatos,California,US,https://www.natera.com/,(408) 357-9882,Medical laboratory,https://www.google.com/maps/search/?api=1&query=Natera%20Patient%20Service%20Center&query_place_id=ChIJWULgUzQ1joAR7NuNGkQHBh4
American Red Cross Solano County,3.8,6,490 Chadbourne Rd STE A134,,Fairfield,California,US,http://www.redcross.org/,(707) 438-7060,Social services organization,https://www.google.com/maps/search/?api=1&query=American%20Red%20Cross%20Solano%20County&query_place_id=ChIJuewpTswVhYARP8Dt-tRUXMk
TridentCare,,0,7075 Redwood Blvd Suite M,,Novato,California,US,http://www.tridentcare.com/,,Medical diagnostic imaging center,https://www.google.com/maps/search/?api=1&query=TridentCare&query_place_id=ChIJR5qLbkm9hYARbCOALRWtjrk
Quanta Laboratories,4.8,44,3199 De La Cruz Blvd,,Santa Clara,California,US,http://www.quantalabs.com/,(408) 988-0770,Laboratory,https://www.google.com/maps/search/?api=1&query=Quanta%20Laboratories&query_place_id=ChIJm29Y933Jj4ARXcSg5owtt7E
Full Service Mobile Lab Co.,4.6,29,4455 Murphy Canyon Rd #100,,San Diego,California,US,http://fullservicemobilelab.com/,(619) 943-3200,Blood testing service,https://www.google.com/maps/search/?api=1&query=Full%20Service%20Mobile%20Lab%20Co.&query_place_id=ChIJXXyFnWSytAURJ2gMBVXQ8OM
Gateway Mobile Phlebotomy,,0,400 Corporate Pointe #300,,Culver City,California,US,,(323) 744-2653,Laboratory,https://www.google.com/maps/search/?api=1&query=Gateway%20Mobile%20Phlebotomy&query_place_id=ChIJHXW1ASe3woAR66k3Mwm1LhM
North Valley Mobile Phlebotomy,5,3,1000 Lincoln Rd ste h,,Yuba City,California,US,http://northvalleylaboratory.com/,(530) 649-7945,Home health care service,https://www.google.com/maps/search/?api=1&query=North%20Valley%20Mobile%20Phlebotomy&query_place_id=ChIJW4U-bABTm4AR0yYYm6X3N6w
Mays Mobile Phlebotomy Services,5,1,9719 Lincoln Village Dr,,Sacramento,California,US,https://maysmobilephlebotomyservices.com/,(916) 800-2572,Health consultant,https://www.google.com/maps/search/?api=1&query=Mays%20Mobile%20Phlebotomy%20Services&query_place_id=ChIJc1NvlSXdmoAReBh1A0-5gkE
Mobile Lab Services,,0,,,Denver,Colorado,US,,(720) 261-7689,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Lab%20Services&query_place_id=ChIJ_____8J4bIcRzYUMSn4AWdg
Acme Mobile Phlebotomy Service,3.7,3,1006 Depot Hill Rd ste b,,Broomfield,Colorado,US,http://acmemobilephlebotomyservice.com/,(720) 484-1834,Home health care service,https://www.google.com/maps/search/?api=1&query=Acme%20Mobile%20Phlebotomy%20Service&query_place_id=ChIJBy-hqceLa4cRPjOfYEDutwQ
ABOLabs LLC,4.9,74,10465 Melody Dr #305,,Northglenn,Colorado,US,http://www.abolabs.org/,(720) 218-8748,Home health care service,https://www.google.com/maps/search/?api=1&query=ABOLabs%20LLC&query_place_id=ChIJz6PZ_mZLaYcR5pgmBQxUupM
Academy of Medical Training Inc.,4.6,63,521 Wolcott St,,Waterbury,Connecticut,US,http://beacnact.com/,(203) 528-0433,Medical school,https://www.google.com/maps/search/?api=1&query=Academy%20of%20Medical%20Training%20Inc.&query_place_id=ChIJHYyD9t7A54kR-Mws60xL2P8
Northeast Medical Institute- Waterbury Campus | Phlebotomy Course & CNA Class,5,137,900 Straits Turnpike Suite C-203,,Middlebury,Connecticut,US,https://www.northeastmedicalinstitute.com/?utm_source=GMB+&utm_medium=Waterbury,(203) 391-6766,Nursing school,https://www.google.com/maps/search/?api=1&query=Northeast%20Medical%20Institute-%20Waterbury%20Campus%20%7C%20Phlebotomy%20Course%20%26%20CNA%20Class&query_place_id=ChIJ2eaUNgLB54kRaSTAF-bz-j0
Eazy Prickz Mobile Solutions,5,2,1266 E Main St Suite 700R,,Stamford,Connecticut,US,https://www.eazyprickz.com/,(833) 397-7425,Blood testing service,https://www.google.com/maps/search/?api=1&query=Eazy%20Prickz%20Mobile%20Solutions&query_place_id=ChIJgfb-OoM9JQwRi7NMoSeKBB0
PinPoint Phlebotomy LLC,5,1,1830 Park Ave,,Bridgeport,Connecticut,US,,(203) 685-7290,Medical clinic,https://www.google.com/maps/search/?api=1&query=PinPoint%20Phlebotomy%20LLC&query_place_id=ChIJS49DxRoP6IkR5Ryxj5KglrI
QuikDraw Phlebotomy School LLC,5,130,100 Beard Sawmill Rd #330,,Shelton,Connecticut,US,https://quikdrawschool.com/,(203) 529-7260,Training center,https://www.google.com/maps/search/?api=1&query=QuikDraw%20Phlebotomy%20School%20LLC&query_place_id=ChIJSeHiJIcL6IkRlGt5ZLRPS_k
Drawn to helping others,5,7,73 Waterbury Rd,,Prospect,Connecticut,US,https://www.drawntohelpothers.com/,(860) 983-0708,Laboratory,https://www.google.com/maps/search/?api=1&query=Drawn%20to%20helping%20others&query_place_id=ChIJnfWIxiPH54kRgyDZgpgA8Ho
Vampire on the go LLC Mobile Phlebotomist,,0,1423 Quinnipiac Ave,,New Haven,Connecticut,US,http://www.vampireonthegoct.com/,(475) 323-3059,Blood testing service,https://www.google.com/maps/search/?api=1&query=Vampire%20on%20the%20go%20LLC%20Mobile%20Phlebotomist&query_place_id=ChIJtbpvZqLX54kR92tO1Ytka2Y
"Amems Mobile Phlebotomist, LLC",5,39,63 Saddle Rd,,Norwalk,Connecticut,US,https://amemsmobilephlebotomist.com/,(203) 943-3293,Blood testing service,https://www.google.com/maps/search/?api=1&query=Amems%20Mobile%20Phlebotomist%2C%20LLC&query_place_id=ChIJlblTH-od6IkRZZMtzDhdlmE
Miss Diagnosis Mobile Phlebotomy,5,26,505 N Main St,,Naugatuck,Connecticut,US,https://miss-diagnosis-mobile-phlebotomy.square.site/?fbclid=IwQ0xDSwK8ch1leHRuA2FlbQIxMAABHoWUIoDHW-Za7yhiBCoF6hql5DyypF-smW2Ba0jmmqHMTJOtYm8NpoNzz89A_aem_Ruf8rOoerl-oPewecVhOTQ,(860) 777-0596,Blood testing service,https://www.google.com/maps/search/?api=1&query=Miss%20Diagnosis%20Mobile%20Phlebotomy&query_place_id=ChIJN0mIBgXD54kRGCkwKirYlkM
Mobile Phlebotomy Services,,0,73 Waterbury Rd,,Prospect,Connecticut,US,https://www.drawntohelpothers.com/,(800) 995-7714,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Services&query_place_id=ChIJNbTJQKnG54kRDZW39ADoVjg
Valley Medical Institute,3.5,37,4637 Main St,,Bridgeport,Connecticut,US,http://www.valleymedicalinstitute.com/,(203) 378-2210,Medical school,https://www.google.com/maps/search/?api=1&query=Valley%20Medical%20Institute&query_place_id=ChIJnZ8lidLG54kRCpvhz8JkCIE
"Blood Draw - Constitution Diagnostics Network, Sand Pit Rd. Danbury, part of Nuvance Health",4,45,79 Sand Pit Rd #202,,Danbury,Connecticut,US,https://findcare.nuvancehealth.org/provider/Blood+Draw+Sand+Pit+Road%2C+Danbury+-+Constitution+Diagnostics+Network+part+of+Danbury+Hospital/2456632?unified=blood+draw&sort=networks%2Crelevance%2Cavailability_density_best&from=search-list&_ga=2.124134474.172435005.1678978052-1342506751.1678308652&_gl=1*1q6boij*_ga*MTM0MjUwNjc1MS4xNjc4MzA4NjUy*_ga_R4WQ173P8V*MTY3ODk5MzA3OC4zLjEuMTY3ODk5NDMzOS4wLjAuMA%3Futm_source%3Dlistings&utm_medium=organic&utm_campaign=Yext&y_source=1_MzU2Mzc5MTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(203) 749-5740,Diagnostic center,https://www.google.com/maps/search/?api=1&query=Blood%20Draw%20-%20Constitution%20Diagnostics%20Network%2C%20Sand%20Pit%20Rd.%20Danbury%2C%20part%20of%20Nuvance%20Health&query_place_id=ChIJzaUZADr_54kRHMuNQHnwSc0
"PHLEB STARZ MOBILE PHLEBOTOMY,LLC",5,7,200 Continental Dr,,Newark,Delaware,US,,,Blood testing service,https://www.google.com/maps/search/?api=1&query=PHLEB%20STARZ%20MOBILE%20PHLEBOTOMY%2CLLC&query_place_id=ChIJRfzNuPwBx4kRQzTBDQf7cIU
Mobile Phlebotomy Excellence,5,112,5825 US Hwy 27 N,,Sebring,Florida,US,http://mobilephlebexcellence.com/,(888) 915-2988,Laboratory,https://www.google.com/maps/search/?api=1&query=Mobile%20Phlebotomy%20Excellence&query_place_id=ChIJpzV9AzEgm4QRqxCOp-h41a8
Superior Care Mobile Phlebotomy LLC,5,40,3350 SW 148th Ave Suit 110,,Miramar,Florida,US,http://www.superiorcaremobile.com/,(954) 951-3999,Laboratory,https://www.google.com/maps/search/?api=1&query=Superior%20Care%20Mobile%20Phlebotomy%20LLC&query_place_id=ChIJTSebJ1Ov2YgRDmlPc8bce1A
ConveLabs Mobile Lab Services,5,161,1800 Pembrook Dr Suite 300,,Orlando,Florida,US,https://www.convelabs.com/,(941) 527-9169,Medical laboratory,https://www.google.com/maps/search/?api=1&query=ConveLabs%20Mobile%20Lab%20Services&query_place_id=ChIJXw6m5nZx54gRBg0C4uAM96I
"Angel Hands Mobile Phlebotomy Services, LLC",5,19,2007 S Westmoreland Dr,,Orlando,Florida,US,,(321) 878-7917,Laboratory,https://www.google.com/maps/search/?api=1&query=Angel%20Hands%20Mobile%20Phlebotomy%20Services%2C%20LLC&query_place_id=ChIJuQMLRk2R3YgRnnS79wx_hU0
VAMP Veteran Accuracy Mobile Phlebotomy,5,6,7901 4th St N #20352,,St. Petersburg,Florida,US,https://vamplabs.com/,(813) 578-8865,Blood testing service,https://www.google.com/maps/search/?api=1&query=VAMP%20Veteran%20Accuracy%20Mobile%20Phlebotomy&query_place_id=ChIJLRftgRfZwogRqLes-icRt8M
